algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
3 eager 19075314980 0.00120723 830030.373698632 0.021260168 1515669.36717849 0.047395835 2132047.43306806
3 eager_1000.dot 25705994498 0.214080707 28847209.3474085 0.75518292 10129708.6753773 2.720591899 151406456.843902
3 methylseq_1000.dot 110641579976 0.173175648 277840192.498312 0.520613287 556354204.050402 1.740217269 1822289762.92108
3 chipseq_200.dot 5058052541 0.006050994 2116660.0058251 0.037395473 64718.2320715025 0.074914763 3755686.51614665
3 methylseq_1000.dot 6273818718 0.174998839 16600427.3474275 0.519165466 365209.529001048 1.376901237 348063266.264126
3 chipseq_4000.dot 41366257414 5.356057172 676147211.461892 11.544305569 344398044.869741 23.212295411 3925374770.63846
3 atacseq_2000.dot 14091675276 0.974542779 106624592.200648 2.523606297 7408671.73252491 6.039768432 722910820.32247
3 atacseq_1000.dot 11809629756 0.153289989 21823637.6256997 0.51357279 1106962.67265392 1.081854427 278421381.266033
3 methylseq_200.dot 17027257018 0.008179357 17373762.0577653 0.047506767 160365.311042868 0.101156763 105192674.82438
3 methylseq_8000.dot 110641579976 47.999570404 2086781474.17075 107.605407964 3684678787.51744 340.888183302 13624466915.4639
3 atacseq_8000.dot 3908761308 46.187513213 139637244.117527 99.749253155 1237629.44335312 134.936897781 898790882.590251
3 methylseq_8000.dot 17027257018 49.085390048 766533201.326174 118.221050737 5011190.34686254 270.708128789 5893338673.96707
3 atacseq_10000.dot 14091675276 102.029858654 577841997.085589 221.83021281 33100103.6019244 428.372179231 3835711704.91436
3 eager_2000.dot 25705994498 1.042277567 67173169.37122 2.800412003 20975410.9273612 12.994947833 391749770.512184
3 eager_1000.dot 14754556884 0.26982255 16351221.3810542 0.787084391 1276854.37707937 2.700446881 144679629.380743
3 methylseq_10000.dot 8885797810 92.955726388 496549248.949207 222.463203227 3433223.83805285 606.257181313 2967146782.66346
3 atacseq_4000.dot 11809629756 5.664239949 128412528.813949 12.160419308 4413677.6512883 25.143068364 1337631509.41602
3 atacseq_1000.dot 14091675276 0.160828715 53428101.9835121 0.48521541 3326277.82535572 1.302797415 347697919.525653
3 methylseq_4000.dot 6273818718 5.076434177 78948854.8498924 11.502971163 1252520.29595025 43.427380922 1825022182.43106
3 chipseq_1000.dot 4605965334 0.152964763 25120724.0218062 0.46176551 187642.239412549 1.001533545 274816923.7819
3 atacseq_200.dot 11809629756 0.007397074 462707.680800318 0.046293862 337616.04683341 0.100841517 32416103.7885943
3 eager_8000.dot 19075314980 61.352035839 180685575.413162 146.601762845 182376460.025751 694.358974463 1808969374.14713
3 methylseq_10000.dot 110641579976 102.549935899 2633979806.21191 235.137731353 4670900548.58969 654.391218996 17622583064.1388
3 methylseq_2000.dot 22500260922 0.998565259 43876506.1312542 2.358816639 8027427.54138444 8.363673401 1363430137.78842
3 chipseq_200.dot 32978181418 0.006261658 21871793.9738485 0.034786595 16443671.4619297 0.081899369 182259963.005276
