size_x,wf_name,inp_size,relation,ratio_old,algorithm,size_y,ratio_new
100,methylseq,22500260922,internal,1.0000000000871296,MeDiH-BLC,100,1.0000000000871296
100,methylseq,110641579976,internal,1.00000000000002,MeDiH-BLC,100,1.00000000000002
200,methylseq_200.dot,8885797810,internal,1.0002506995546,MeDiH-BLC,200,1.0002506995546
100,chipseq,32978181418,internal,1.0230263773549413,MeDiH-BLC,100,1.0230263773549413
200,methylseq_200.dot,6761426956,internal,1.0004185917544142,MeDiH-BLC,200,1.0004185917544142
100,methylseq,17027257018,internal,1.000000000170914,MeDiH-BLC,100,1.000000000170914
200,methylseq_200.dot,11897958606,internal,1.000290838686391,MeDiH-BLC,200,1.000290838686391
200,methylseq_200.dot,22500260922,internal,1.0342844320067337,MeDiH-BLC,200,1.0342844320067337
100,methylseq,6761426956,internal,1.0000000004213674,MeDiH-BLC,100,1.0000000004213674
100,chipseq,41366257414,internal,1.021800808447356,MeDiH-BLC,100,1.021800808447356
100,chipseq,5058052541,internal,1.0836699794602211,MeDiH-BLC,100,1.0836699794602211
100,chipseq,4807293396,internal,1.0751558585396281,MeDiH-BLC,100,1.0751558585396281
200,methylseq_200.dot,6273818718,internal,1.0002783669782727,MeDiH-BLC,200,1.0002783669782727
100,methylseq,8885797810,internal,1.000000000217842,MeDiH-BLC,100,1.000000000217842
1000,methylseq_1000.dot,6273818718,dyn_vs_base,0.7804600037092232,MeDiH-BLC,1000,0.7804600037092232
200,methylseq_200.dot,17027257018,dyn_vs_base,0.9669994943962068,MeDiH-BLC,200,0.9669994943962068
100,methylseq,11897958606,dyn_vs_base,0.9999999998468493,MeDiH-BLC,100,0.9999999998468493
100,methylseq,6273818718,dyn_vs_base,0.9999999996051814,MeDiH-BLC,100,0.9999999996051814
100,methylseq,22500260922,dyn_vs_base,0.9999999999128703,MeDiH-BLC,100,0.9999999999128703
100,methylseq,110641579976,dyn_vs_base,0.9999999999999801,MeDiH-BLC,100,0.9999999999999801
200,methylseq_200.dot,8885797810,dyn_vs_base,0.999749363279914,MeDiH-BLC,200,0.999749363279914
100,chipseq,32978181418,dyn_vs_base,0.9823125501895196,MeDiH-BLC,100,0.9823125501895196
200,methylseq_200.dot,6761426956,dyn_vs_base,0.9995815833913281,MeDiH-BLC,200,0.9995815833913281
100,methylseq,17027257018,dyn_vs_base,0.9999999998290859,MeDiH-BLC,100,0.9999999998290859
200,methylseq_200.dot,11897958606,dyn_vs_base,0.9997092458761566,MeDiH-BLC,200,0.9997092458761566
200,methylseq_200.dot,22500260922,dyn_vs_base,0.9668800095821746,MeDiH-BLC,200,0.9668800095821746
100,methylseq,6761426956,dyn_vs_base,0.9999999995786327,MeDiH-BLC,100,0.9999999995786327
100,chipseq,41366257414,dyn_vs_base,0.9947386508983527,MeDiH-BLC,100,0.9947386508983527
100,chipseq,5058052541,dyn_vs_base,0.9501620309454146,MeDiH-BLC,100,0.9501620309454146
100,chipseq,4807293396,dyn_vs_base,0.953244121937962,MeDiH-BLC,100,0.953244121937962
200,methylseq_200.dot,6273818718,dyn_vs_base,0.9997217104883377,MeDiH-BLC,200,0.9997217104883377
100,methylseq,8885797810,dyn_vs_base,0.999999999782158,MeDiH-BLC,100,0.999999999782158
1000,methylseq_1000.dot,6761426956,dyn_vs_base,1.259024505223002,MeDiH-BLC,1000,1.259024505223002
1000,methylseq_1000.dot,6273818718,stat_vs_base,1.0,MeDiH-BLC,1000,1.0
200,methylseq_200.dot,17027257018,stat_vs_base,1.000071747332759,MeDiH-BLC,200,1.000071747332759
100,methylseq,11897958606,stat_vs_base,1.0,MeDiH-BLC,100,1.0
100,methylseq,6273818718,stat_vs_base,1.0,MeDiH-BLC,100,1.0
100,methylseq,22500260922,stat_vs_base,1.0,MeDiH-BLC,100,1.0
100,methylseq,110641579976,stat_vs_base,1.0,MeDiH-BLC,100,1.0
200,atacseq_200.dot,14091675276,stat_vs_base,1.0308642780557635,MeDiH-BLC,200,1.0308642780557635
200,atacseq_200.dot,3908761308,stat_vs_base,1.0113163404514889,MeDiH-BLC,200,1.0113163404514889
200,methylseq_200.dot,8885797810,stat_vs_base,1.0,MeDiH-BLC,200,1.0
100,chipseq,32978181418,stat_vs_base,1.0049316496506782,MeDiH-BLC,100,1.0049316496506782
200,methylseq_200.dot,6761426956,stat_vs_base,1.0,MeDiH-BLC,200,1.0
100,methylseq,17027257018,stat_vs_base,1.0,MeDiH-BLC,100,1.0
200,methylseq_200.dot,11897958606,stat_vs_base,1.0,MeDiH-BLC,200,1.0
200,methylseq_200.dot,22500260922,stat_vs_base,1.0000289415293646,MeDiH-BLC,200,1.0000289415293646
100,methylseq,6761426956,stat_vs_base,1.0,MeDiH-BLC,100,1.0
100,chipseq,41366257414,stat_vs_base,1.0164247576817689,MeDiH-BLC,100,1.0164247576817689
100,chipseq,5058052541,stat_vs_base,1.0296620685584994,MeDiH-BLC,100,1.0296620685584994
100,chipseq,4807293396,stat_vs_base,1.0248860023200637,MeDiH-BLC,100,1.0248860023200637
200,methylseq_200.dot,6273818718,stat_vs_base,1.0,MeDiH-BLC,200,1.0
100,methylseq,8885797810,stat_vs_base,1.0,MeDiH-BLC,100,1.0
200,eager_200.dot,8330435694,stat_vs_base,1.0,MeDiH-BLC,200,1.0
15000,methylseq_15000.dot,6761426956,internal,0.770713174011068,MeDiH-MM,15000,0.770713174011068
