,vertex,end_time,start_time,processor,duration
74,MERGED_LIB_CONSENSUS_00000180,23508647.7052811,23450625.3427811,34,58022.362500000745
75,MERGED_LIB_CONSENSUS_ANNOTATE_00000036,40425272.4722592,40367250.1097592,34,58022.36250000447
76,MERGED_LIB_CONSENSUS_ANNOTATE_00000052,23917488.8680587,23762762.5680587,18,154726.30000000075
77,MERGED_LIB_CONSENSUS_ANNOTATE_00000091,24404591.9816246,24346569.6191246,30,58022.362500000745
78,MERGED_LIB_CONSENSUS_ANNOTATE_00000130,24231496.5742555,24173474.2117555,32,58022.362500000745
79,MERGED_LIB_CONSENSUS_ANNOTATE_00000169,27545415.0014971,27487392.6389971,34,58022.362500000745
80,MERGED_LIB_CONSENSUS_COUNTS_00000015,40425365.0883237,40367342.7258237,30,58022.36249999702
81,MERGED_LIB_CONSENSUS_COUNTS_00000050,24289518.9367555,24231496.5742555,32,58022.362500000745
82,MERGED_LIB_CONSENSUS_COUNTS_00000089,24344384.5584777,24189658.2584777,20,154726.30000000075
83,MERGED_LIB_CONSENSUS_COUNTS_00000128,24290109.0062535,24135382.7062535,19,154726.30000000075
84,MERGED_LIB_CONSENSUS_COUNTS_00000167,27487392.6389971,27429370.2764971,34,58022.362500000745
85,MERGED_LIB_CONSENSUS_DESEQ2_00000019,40483387.4508237,40425365.0883237,30,58022.36250000447
86,MERGED_LIB_CONSENSUS_DESEQ2_00000040,24347541.2992555,24289518.9367555,32,58022.362500000745
87,MERGED_LIB_CONSENSUS_DESEQ2_00000079,24499110.8584777,24344384.5584777,20,154726.30000000075
88,MERGED_LIB_CONSENSUS_DESEQ2_00000118,24444835.3062535,24290109.0062535,19,154726.30000000075
89,MERGED_LIB_CONSENSUS_DESEQ2_00000157,29046084.601858,28988062.239358,34,58022.362500000745
90,MERGED_LIB_MACS2_00000014,39263748.0440021,38878787.8565021,35,384960.1875
91,MERGED_LIB_MACS2_00000051,22519833.7378619,22134873.5503619,34,384960.1875
92,MERGED_LIB_MACS2_00000090,22461815.6188345,22076855.4313345,31,384960.1875
93,MERGED_LIB_MACS2_00000129,22461590.8725897,22076630.6850897,33,384960.1875
94,MERGED_LIB_MACS2_00000168,22405145.639524,22020185.452024,35,384960.1875
95,MERGED_LIB_MACS2_ANNOTATE_00000035,42660692.6451613,42596722.6826613,35,63969.96249999851
96,MERGED_LIB_MACS2_ANNOTATE_00000071,26905592.3064403,26841622.3439403,34,63969.962500002235
97,MERGED_LIB_MACS2_ANNOTATE_00000110,25858760.2199937,25794790.2574937,31,63969.96249999851
98,MERGED_LIB_MACS2_ANNOTATE_00000149,25858535.4737489,25794565.5112489,33,63969.96249999851
99,MERGED_LIB_MACS2_ANNOTATE_00000188,25801532.7918666,25737562.8293666,35,63969.962500002235
100,MERGED_LIB_MACS2_QC_00000018,43083969.7947053,43025947.4322053,35,58022.36250000447
101,MERGED_LIB_MACS2_QC_00000073,28988062.239358,28930039.876858,34,58022.362500000745
102,MERGED_LIB_MACS2_QC_00000112,25974804.9449937,25916782.5824937,31,58022.362500000745
103,MERGED_LIB_MACS2_QC_00000151,29431798.046376,29373775.683876,33,58022.362500000745
104,MERGED_LIB_MACS2_QC_00000190,29373775.683876,29315753.321376,33,58022.362500000745
105,MERGED_LIB_PICARD_METRICS_00000012,26011957.6166491,25809369.5166491,30,202588.09999999776
106,MERGED_LIB_PICARD_METRICS_00000066,11111389.8228514,10908801.7228514,32,202588.1000000015
107,MERGED_LIB_PICARD_METRICS_00000105,11053371.703824,10850783.603824,34,202588.09999999963
108,MERGED_LIB_PICARD_METRICS_00000144,11053146.9575792,10850558.8575792,31,202588.09999999963
109,MERGED_LIB_PICARD_METRICS_00000183,10996701.7245135,10794113.6245135,33,202588.1000000015
110,MERGED_LIB_PLOTFINGERPRINT_00000013,26069979.9791491,26011957.6166491,30,58022.362500000745
111,MERGED_LIB_PLOTFINGERPRINT_00000067,11169412.1853514,11111389.8228514,32,58022.36249999888
112,MERGED_LIB_PLOTFINGERPRINT_00000106,11111394.066324,11053371.703824,34,58022.36249999888
113,MERGED_LIB_PLOTFINGERPRINT_00000145,11111169.3200792,11053146.9575792,31,58022.362500000745
114,MERGED_LIB_PLOTFINGERPRINT_00000184,11054724.0870135,10996701.7245135,33,58022.36249999888
115,MERGED_LIB_PLOTPROFILE_00000007,26356674.292187,26070050.5921871,30,286623.6999999024
116,MERGED_LIB_PLOTPROFILE_00000054,18011902.9303996,17725279.2303996,10,286623.69999999925
117,MERGED_LIB_PLOTPROFILE_00000093,17953884.8113721,17667261.1113721,6,286623.700000003
118,MERGED_LIB_PLOTPROFILE_00000132,17953660.0651274,17667036.3651274,11,286623.69999999925
119,MERGED_LIB_PLOTPROFILE_00000171,17597753.0653877,17311129.3653877,32,286623.69999999925
120,MERGED_LIB_PRESEQ_00000010,24173474.2117555,24115451.8492555,32,58022.362500000745
121,MERGED_LIB_PRESEQ_00000041,10257636.1387613,10199613.7762613,32,58022.362500000745
122,MERGED_LIB_PRESEQ_00000080,10199618.0197338,10141595.6572338,34,58022.36249999888
123,MERGED_LIB_PRESEQ_00000119,10199393.2734891,10141370.9109891,31,58022.362500000745
124,MERGED_LIB_PRESEQ_00000158,10142948.0404234,10084925.6779234,33,58022.362500000745
125,MERGED_REP_BAM_00000016,25809369.5166491,25751347.1541491,30,58022.362500000745
126,MERGED_REP_BAM_00000055,10908801.7228514,10850779.3603514,32,58022.36249999888
127,MERGED_REP_BAM_00000094,10850783.603824,10792761.2413239,34,58022.36250010133
128,MERGED_REP_BAM_00000133,10850558.8575792,10792536.4950792,31,58022.36249999888
129,MERGED_REP_BAM_00000172,10794113.6245135,10736091.2620135,33,58022.36249999888
130,MERGED_REP_BIGWIG_00000031,26734631.0446612,26676608.6821612,30,58022.362500000745
131,MERGED_REP_BIGWIG_00000061,17579458.9226867,17424732.6226867,23,154726.30000000075
132,MERGED_REP_BIGWIG_00000100,18043095.4969522,17888369.1969522,22,154726.29999999702
133,MERGED_REP_BIGWIG_00000139,18042870.7507074,17888144.4507074,20,154726.30000000075
134,MERGED_REP_BIGWIG_00000178,17988595.1984831,17833868.8984831,18,154726.29999999702
135,MERGED_REP_CONSENSUS_00000033,26792653.4071612,26734631.0446612,30,58022.36249999702
136,MERGED_REP_CONSENSUS_00000062,18125064.9135644,18067042.5510643,32,58022.3625000976
137,MERGED_REP_CONSENSUS_00000101,18198905.9995334,18044179.6995334,21,154726.30000000075
138,MERGED_REP_CONSENSUS_00000140,18198681.2532886,18043954.9532886,19,154726.30000000075
139,MERGED_REP_CONSENSUS_00000179,18009020.1885643,17950997.8260643,32,58022.362500000745
140,MERGED_REP_CONSENSUS_ANNOTATE_00000038,26966720.4946612,26908698.1321612,30,58022.362500000745
141,MERGED_REP_CONSENSUS_ANNOTATE_00000044,22398759.3785082,22340737.0160082,32,58022.362500000745
142,MERGED_REP_CONSENSUS_ANNOTATE_00000083,18508358.5995334,18353632.2995334,21,154726.30000000075
143,MERGED_REP_CONSENSUS_ANNOTATE_00000122,19398885.9822581,19244159.6822581,20,154726.30000000075
144,MERGED_REP_CONSENSUS_ANNOTATE_00000161,21873673.0460669,21815650.6835669,30,58022.36249999702
145,MERGED_REP_CONSENSUS_COUNTS_00000017,26908698.1321612,26850675.7696612,30,58022.362500000745
146,MERGED_REP_CONSENSUS_COUNTS_00000048,22340737.0160082,22282714.6535082,32,58022.36249999702
147,MERGED_REP_CONSENSUS_COUNTS_00000087,22433922.2160983,22279195.9160983,20,154726.30000000075
148,MERGED_REP_CONSENSUS_COUNTS_00000126,22433697.4698536,22278971.1698536,19,154726.29999999702
149,MERGED_REP_CONSENSUS_COUNTS_00000165,22282714.6535082,22224692.2910082,32,58022.362500000745
150,MERGED_REP_CONSENSUS_DESEQ2_00000022,27082765.2196612,27024742.8571612,30,58022.36249999702
151,MERGED_REP_CONSENSUS_DESEQ2_00000070,22572826.4660082,22514804.1035082,32,58022.362500000745
152,MERGED_REP_CONSENSUS_DESEQ2_00000109,22588648.5160983,22433922.2160983,20,154726.30000000075
153,MERGED_REP_CONSENSUS_DESEQ2_00000148,22588423.7698536,22433697.4698536,19,154726.30000000075
154,MERGED_REP_CONSENSUS_DESEQ2_00000187,22514804.1035082,22456781.7410082,32,58022.362500000745
155,MERGED_REP_MACS2_00000020,26414696.6546871,26356674.292187,30,58022.3625000976
156,MERGED_REP_MACS2_00000045,17950997.8260643,17892975.4635643,32,58022.362500000745
157,MERGED_REP_MACS2_00000084,18044179.6995334,17889453.3995334,21,154726.30000000075
158,MERGED_REP_MACS2_00000123,18043954.9532886,17889228.6532886,19,154726.30000000075
159,MERGED_REP_MACS2_00000162,17892975.4635643,17834953.1010643,32,58022.362500000745
160,MERGED_REP_MACS2_ANNOTATE_00000037,26850675.7696612,26792653.4071612,30,58022.362500000745
161,MERGED_REP_MACS2_ANNOTATE_00000057,18183087.2760644,18125064.9135644,32,58022.362500000745
162,MERGED_REP_MACS2_ANNOTATE_00000096,18353632.2995334,18198905.9995334,21,154726.30000000075
163,MERGED_REP_MACS2_ANNOTATE_00000135,18353407.5532886,18198681.2532886,19,154726.30000000075
164,MERGED_REP_MACS2_ANNOTATE_00000174,18067042.5510643,18009020.1885643,32,58022.362500000745
165,MERGED_REP_MACS2_QC_00000021,27024742.8571612,26966720.4946612,30,58022.362500000745
166,MERGED_REP_MACS2_QC_00000059,22456781.7410082,22398759.3785082,32,58022.362500000745
167,MERGED_REP_MACS2_QC_00000098,19814440.1071511,19659713.8071511,21,154726.29999999702
168,MERGED_REP_MACS2_QC_00000137,19659713.8071511,19504987.5071511,21,154726.30000000075
169,MERGED_REP_MACS2_QC_00000176,22231204.8084598,22076478.5084598,18,154726.30000000075
170,MULTIQC_00000006,43513221.727341,43455199.364841,30,58022.36250000447
171,MULTIQC_00000065,29600603.2345293,29542580.8720293,34,58022.362500000745
172,MULTIQC_00000104,26529323.577665,26471301.215165,31,58022.362500000745
173,MULTIQC_00000143,35283045.096166,35225022.733666,31,58022.36249999702
174,MULTIQC_00000182,35368185.7538908,35310163.3913908,33,58022.36249999702
175,SORT_BAM_00000008,22148569.8210669,21873673.0460669,30,274896.77500000224
176,SORT_BAM_00000064,8598831.42626129,8323934.65126129,32,274896.7750000013
177,SORT_BAM_00000103,8540813.30723382,8265916.53223382,34,274896.77499999944
178,SORT_BAM_00000142,8540588.56098906,8265691.78598906,31,274896.77499999944
179,SORT_BAM_00000181,8482787.61811274,8207890.84311274,33,274896.77499999944
180,TRIMGALORE_00000002,6976178.91427032,6366064.85177032,30,610114.0625
181,TRIMGALORE_00000072,6772040.58876129,6161926.52626129,32,610114.0625
182,TRIMGALORE_00000111,6713801.05011015,6103686.98761015,34,610114.0625
183,TRIMGALORE_00000150,6713797.72348906,6103683.66098906,31,610114.0625
184,TRIMGALORE_00000189,6655775.36098906,6045661.29848906,33,610114.0625
185,get_software_versions_00000023,154726.3,0.0,21,154726.3
186,get_software_versions_00000076,116044.725,58022.3625,9,58022.3625
187,get_software_versions_00000115,116044.725,58022.3625,35,58022.3625
188,get_software_versions_00000154,58022.3625,0.0,10,58022.3625
189,get_software_versions_00000193,58022.3625,0.0,34,58022.3625
190,output_documentation_00000039,154726.3,0.0,18,154726.3
191,output_documentation_00000056,116044.725,58022.3625,7,58022.3625
192,output_documentation_00000095,116044.725,58022.3625,30,58022.3625
193,output_documentation_00000134,58022.3625,0.0,8,58022.3625
194,output_documentation_00000173,58022.3625,0.0,31,58022.3625
