,vertex,end_time_dyn,start_time_dyn,processor_dyn,duration_dyn,start_time_stat,end_time_stat,processor_stat,duration_stat
0,BWA_INDEX_00000005,154726.3,0.0,22,154726.3,0.0,58022.3625,11,58022.3625
1,BWA_INDEX_00000069,116044.725,58022.3625,8,58022.3625,0.0,58022.3625,8,58022.3625
2,BWA_INDEX_00000108,116044.725,58022.3625,32,58022.3625,0.0,58022.3625,10,58022.3625
3,BWA_INDEX_00000147,58022.3625,0.0,9,58022.3625,0.0,58022.3625,30,58022.3625
4,BWA_INDEX_00000186,58022.3625,0.0,32,58022.3625,0.0,58022.3625,9,58022.3625
5,BWA_MEM_00000004,18024435.2633111,16713234.325811,30,1311200.9375000987,6655775.36098906,7966976.29848906,35,1311200.9375
6,BWA_MEM_00000058,8323934.65126129,7012733.71376129,32,1311200.9375,6655775.36098906,7966976.29848906,32,1311200.9375
7,BWA_MEM_00000097,8265916.53223382,6954715.59473382,34,1311200.9375,6655775.36098906,7966976.29848906,31,1311200.9375
8,BWA_MEM_00000136,8265691.78598906,6954490.84848906,31,1311200.9375,6655775.36098906,7966976.29848906,33,1311200.9375
9,BWA_MEM_00000175,8207890.84311274,6896689.90561274,33,1311200.9375,6655775.36098906,7966976.29848906,34,1311200.9375
10,CHECK_DESIGN_00000001,6366064.85177032,318849.86812126,30,6047214.98364906,0.0,6045661.29848906,35,6045661.29848906
11,CHECK_DESIGN_00000075,6161926.52626129,116265.227772232,32,6045661.298489057,0.0,6045661.29848906,32,6045661.29848906
12,CHECK_DESIGN_00000114,6103686.98761015,58025.6891210858,34,6045661.298489064,0.0,6045661.29848906,31,6045661.29848906
13,CHECK_DESIGN_00000153,6103683.66098906,58022.3625,31,6045661.29848906,0.0,6045661.29848906,33,6045661.29848906
14,CHECK_DESIGN_00000192,6045661.29848906,0.0,33,6045661.29848906,0.0,6045661.29848906,34,6045661.29848906
15,FASTQC_00000003,16713234.325811,6976178.91427032,30,9737055.41154068,32541444.6068104,33882381.1614587,34,1340936.5546483025
16,FASTQC_00000047,7012733.71376129,6772040.58876129,32,240693.125,23670607.8278719,24954304.4945386,13,1283696.6666667014
17,FASTQC_00000086,6954494.17511015,6713801.05011015,34,240693.125,23670607.8278719,24954304.4945386,12,1283696.6666667014
18,FASTQC_00000125,6954490.84848906,6713797.72348906,31,240693.125,23670607.8278719,24954304.4945386,14,1283696.6666667014
19,FASTQC_00000164,6896468.48598906,6655775.36098906,33,240693.125,23670607.8278719,24954304.4945386,15,1283696.6666667014
20,IGV_00000034,42967925.0697053,42909902.7072053,35,58022.36249999702,44672736.266988,44730758.629488,35,58022.36249999702
21,IGV_00000043,24680245.1171072,24622222.7546072,32,58022.362500000745,40637286.9128452,40695309.2753452,32,58022.36249999702
22,IGV_00000082,25550338.420059,25492316.057559,30,58022.362500000745,44426169.3107123,44484191.6732123,35,58022.36249999702
23,IGV_00000121,25123251.6940005,24968525.3940005,19,154726.30000000075,44254480.8613297,44312503.2238297,34,58022.36250000447
24,IGV_00000160,30182382.8279925,30124360.4654925,34,58022.36249999702,44556663.1733971,44614685.5358971,34,58022.36249999702
25,MAKE_GENE_BED_00000024,154726.3,0.0,20,154726.3,58022.3625,116044.725,9,58022.3625
26,MAKE_GENE_BED_00000077,116044.725,58022.3625,10,58022.3625,58022.3625,116044.725,8,58022.3625
27,MAKE_GENE_BED_00000116,58022.3625,0.0,6,58022.3625,0.0,154726.3,18,154726.3
28,MAKE_GENE_BED_00000155,58022.3625,0.0,11,58022.3625,58022.3625,116044.725,6,58022.3625
29,MAKE_GENE_BED_00000194,58022.3625,0.0,35,58022.3625,58022.3625,116044.725,7,58022.3625
30,MAKE_GENOME_FILTER_00000028,154726.3,0.0,19,154726.3,58022.3625,116044.725,11,58022.3625
31,MAKE_GENOME_FILTER_00000053,116044.725,58022.3625,6,58022.3625,0.0,58022.3625,6,58022.3625
32,MAKE_GENOME_FILTER_00000092,116044.725,58022.3625,11,58022.3625,0.0,58022.3625,7,58022.3625
33,MAKE_GENOME_FILTER_00000131,58022.3625,0.0,7,58022.3625,58022.3625,116044.725,30,58022.3625
34,MAKE_GENOME_FILTER_00000170,58022.3625,0.0,30,58022.3625,58022.3625,116044.725,10,58022.3625
35,MAKE_TSS_BED_00000025,309452.6,154726.3,20,154726.3,116044.725,174067.0875,9,58022.36249999999
36,MAKE_TSS_BED_00000074,174067.0875,116044.725,10,58022.36249999999,116044.725,174067.0875,8,58022.36249999999
37,MAKE_TSS_BED_00000113,174067.0875,116044.725,6,58022.36249999999,1200204.72896952,1354931.02896952,20,154726.30000000005
38,MAKE_TSS_BED_00000152,174067.0875,116044.725,11,58022.36249999999,116044.725,174067.0875,6,58022.36249999999
39,MAKE_TSS_BED_00000191,174067.0875,116044.725,35,58022.36249999999,116044.725,174067.0875,7,58022.36249999999
40,MERGED_LIB_ATAQV_00000027,42596722.6826613,42431775.9576613,35,164946.7250000015,37383103.1798036,37548049.9048036,30,164946.72499999404
41,MERGED_LIB_ATAQV_00000060,26841622.3439403,26676675.6189403,34,164946.72499999776,34215075.2661444,34380021.9911444,30,164946.72499999404
42,MERGED_LIB_ATAQV_00000099,25794790.2574937,25629843.5324937,31,164946.7250000015,28451918.562527,28616865.287527,35,164946.72499999776
43,MERGED_LIB_ATAQV_00000138,25794565.5112489,25629618.7862489,33,164946.7250000015,35608650.0073101,35773596.7323101,33,164946.7250000015
44,MERGED_LIB_ATAQV_00000177,25737562.8293666,25572616.1043666,35,164946.72499999776,38776677.9209693,38941624.6459693,33,164946.7250000015
