,size,wf_name,inp_size,relation,ratio,algorithm
67,20000,atacseq_20000.dot,2223941232,internal,1.2115761250457049,MeDiH-BL
68,2000,chipseq_2000.dot,5058052541,internal,1.1790179626070252,MeDiH-BL
69,20000,methylseq_20000.dot,11897958606,internal,0.22463864276675025,MeDiH-BL
70,25000,atacseq_25000.dot,14091675276,internal,0.9065389863138134,MeDiH-BL
71,4000,atacseq_4000.dot,14091675276,internal,1.0075358909081995,MeDiH-BL
72,200,eager_200.dot,25705994498,internal,2.3941969231763682,MeDiH-BL
73,15000,chipseq_15000.dot,4605965334,internal,1.0355787614907124,MeDiH-BL
74,15000,atacseq_15000.dot,14091675276,internal,0.9000030719045397,MeDiH-BL
75,200,methylseq_200.dot,110641579976,internal,0.28502682486347675,MeDiH-BL
76,100,methylseq,6273818718,internal,1.0000000003948186,MeDiH-BL
77,15000,atacseq_15000.dot,11187378708,internal,0.9024997531701012,MeDiH-BL
78,4000,methylseq_4000.dot,8885797810,internal,0.3662095017529652,MeDiH-BL
79,20000,methylseq_20000.dot,110641579976,internal,0.19673011853193748,MeDiH-BL
80,2000,chipseq_2000.dot,41366257414,internal,0.5233798396246865,MeDiH-BL
81,15000,chipseq_15000.dot,32978181418,internal,0.5317133097660158,MeDiH-BL
82,8000,chipseq_8000.dot,5058052541,internal,0.9026426747415003,MeDiH-BL
83,8000,methylseq_8000.dot,8885797810,internal,0.25987160741850207,MeDiH-BL
84,8000,chipseq_8000.dot,41366257414,internal,0.4536114009558261,MeDiH-BL
85,8000,methylseq_8000.dot,6273818718,internal,0.3195036994765512,MeDiH-BL
86,15000,eager_15000.dot,19100037384,internal,0.851775585130985,MeDiH-BL
87,30000,chipseq_30000.dot,4807293396,internal,1.1115748393747313,MeDiH-BL
88,30000,methylseq_30000.dot,6761426956,internal,0.2415556354614965,MeDiH-BL
89,1000,chipseq_1000.dot,32978181418,internal,0.7713088297717158,MeDiH-BL
90,30000,chipseq_30000.dot,4605965334,internal,1.021816588968245,MeDiH-BL
91,10000,methylseq_10000.dot,6273818718,internal,0.28714817315986196,MeDiH-BL
92,25000,methylseq_25000.dot,6761426956,internal,0.24297844324287618,MeDiH-BL
93,10000,chipseq_10000.dot,4605965334,internal,1.0161472336719084,MeDiH-BL
94,100,methylseq,22500260922,internal,1.0000000000871296,MeDiH-BL
