vertex startOrFinish time proc
MERGED_LIB_PRESEQ_00000119 finish 10199393.2734891 31
MERGED_LIB_BAM_REMOVE_ORPHAN_00000156 start 10199393.2734891 31
MERGED_LIB_BAM_FILTER_00000049 finish 10199613.7762613 32
MERGED_LIB_PRESEQ_00000041 start 10199613.7762613 32
MERGED_LIB_PRESEQ_00000080 finish 10199618.0197338 34
MERGED_LIB_BAM_REMOVE_ORPHAN_00000117 start 10199618.0197338 34
MERGED_LIB_PRESEQ_00000041 finish 10257636.1387613 32
MERGED_LIB_BAM_REMOVE_ORPHAN_00000078 start 10257636.1387613 32
MERGED_LIB_BAM_REMOVE_ORPHAN_00000195 finish 10535082.5279234 33
MERGED_LIB_BIGWIG_00000159 start 10535592.2995135 33
MERGED_LIB_BAM_REMOVE_ORPHAN_00000156 finish 10591527.7609891 31
MERGED_LIB_BAM_REMOVE_ORPHAN_00000117 finish 10591752.5072338 34
MERGED_LIB_BIGWIG_00000120 start 10592037.5325792 31
MERGED_LIB_BIGWIG_00000081 start 10592262.2788239 34
MERGED_LIB_BAM_REMOVE_ORPHAN_00000078 finish 10649770.6262613 32
MERGED_LIB_BIGWIG_00000042 start 10650280.3978514 32
MERGED_LIB_BIGWIG_00000159 finish 10736091.2620135 33
MERGED_REP_BAM_00000172 start 10736091.2620135 33
MERGED_LIB_BIGWIG_00000120 finish 10792536.4950792 31
MERGED_REP_BAM_00000133 start 10792536.4950792 31
MERGED_LIB_BIGWIG_00000081 finish 10792761.2413239 34
MERGED_REP_BAM_00000094 start 10792761.2413239 34
MERGED_REP_BAM_00000172 finish 10794113.6245135 33
MERGED_LIB_PICARD_METRICS_00000183 start 10794113.6245135 33
MERGED_REP_BAM_00000133 finish 10850558.8575792 31
MERGED_LIB_PICARD_METRICS_00000144 start 10850558.8575792 31
MERGED_LIB_BIGWIG_00000042 finish 10850779.3603514 32
MERGED_REP_BAM_00000055 start 10850779.3603514 32
MERGED_REP_BAM_00000094 finish 10850783.603824 34
MERGED_LIB_PICARD_METRICS_00000105 start 10850783.603824 34
MERGED_REP_BAM_00000055 finish 10908801.7228514 32
MERGED_LIB_PICARD_METRICS_00000066 start 10908801.7228514 32
MERGED_LIB_PICARD_METRICS_00000183 finish 10996701.7245135 33
MERGED_LIB_PLOTFINGERPRINT_00000184 start 10996701.7245135 33
MERGED_LIB_PICARD_METRICS_00000144 finish 11053146.9575792 31
MERGED_LIB_PLOTFINGERPRINT_00000145 start 11053146.9575792 31
MERGED_LIB_PICARD_METRICS_00000105 finish 11053371.703824 34
MERGED_LIB_PLOTFINGERPRINT_00000106 start 11053371.703824 34
MERGED_LIB_PLOTFINGERPRINT_00000184 finish 11054724.0870135 33
MERGED_LIB_PLOTFINGERPRINT_00000145 finish 11111169.3200792 31
MERGED_LIB_PICARD_METRICS_00000066 finish 11111389.8228514 32
MERGED_LIB_PLOTFINGERPRINT_00000067 start 11111389.8228514 32
MERGED_LIB_PLOTFINGERPRINT_00000106 finish 11111394.066324 34
