wf_name,size_x,relation,ratio_old,ratio_new
atacseq_30000.dot,30000,internal,1.3013022877220994,0.8974132242721423
chipseq_15000.dot,15000,internal,1.3076720030952473,0.43149027707743126
methylseq_15000.dot,15000,internal,0.8983905245600274,0.25706578205637465
eager_1000.dot,1000,internal,1.0576624331223101,1.8499594619885202
eager_20000.dot,20000,internal,1.4041777376893563,0.9157359667115921
eager_25000.dot,25000,internal,1.295157066096212,0.5481873107766437
methylseq_1000.dot,1000,internal,0.7962408117344651,0.20856444037146402
chipseq_200.dot,200,internal,1.71587871766429,1.6784375155541233
atacseq_30000.dot,30000,internal,1.1638791446481838,0.9241364293504853
chipseq_4000.dot,4000,internal,1.0774920708807896,0.4758908729017999
atacseq_2000.dot,2000,internal,1.399268631916701,1.192345704739913
atacseq_1000.dot,1000,internal,1.4032916747367208,1.798693150201756
methylseq_30000.dot,30000,internal,1.376823500242601,0.19820900608708142
methylseq_8000.dot,8000,internal,1.108599394032534,0.19566339169613406
methylseq_20000.dot,20000,internal,0.8516663786818517,0.24832162080040313
atacseq_8000.dot,8000,internal,1.2783815448162572,1.3438704915775381
methylseq_8000.dot,8000,internal,1.3508596480709967,0.21769413295243767
atacseq_10000.dot,10000,internal,0.9507397613952003,0.9343271576053851
atacseq_20000.dot,20000,internal,1.0869851823023369,0.9614215993916044
atacseq_30000.dot,30000,internal,1.4114141699994844,1.1575998785585941
eager_2000.dot,2000,internal,0.6080616175014382,0.8767818227560156
eager_1000.dot,1000,internal,1.1268536640365634,1.6071867168273748
atacseq_30000.dot,30000,internal,1.0658653820014101,0.9315263061695461
methylseq_10000.dot,10000,internal,0.8520518141959426,0.24983589371344064
atacseq_4000.dot,4000,internal,1.226159275008627,1.1536806908936905
atacseq_1000.dot,1000,internal,1.3520557594144567,1.2345571917488214
methylseq_4000.dot,4000,internal,1.0114033418071313,0.6671324061500579
chipseq_1000.dot,1000,internal,1.0312761633870202,1.126544662022088
atacseq_200.dot,200,internal,3.562364390795232,3.6909429232547795
eager_8000.dot,8000,internal,1.0722689882926513,1.0955414653831914
methylseq_10000.dot,10000,internal,0.7197830811404982,0.19631039879558393
methylseq_2000.dot,2000,internal,0.8190080643323394,0.2621613111764283
chipseq_200.dot,200,internal,1.100999901428558,0.9336469068196069
chipseq_2000.dot,2000,internal,1.3290522785420738,1.1600242340335902
methylseq_30000.dot,30000,internal,1.017284078384794,0.22380841055098324
eager_20000.dot,20000,internal,1.2294606880355146,0.7674917601853187
atacseq_8000.dot,8000,internal,1.0975384069779675,1.0089027725997948
eager_30000.dot,30000,internal,1.2186850787571442,0.5643121480526108
chipseq_200.dot,200,internal,1.2564478495077975,1.967727520475902
chipseq_200.dot,200,internal,1.9094026440543432,1.4284951217438375
