vertex start finish processor
bismark_align_00000219 586484952.128915 592672665.153915 34
bismark_align_00000231 591379542.845534 597567255.870534 33
bismark_align_00000903 596274133.562153 602461846.587153 35
bismark_align_00000747 600174061.883351 606361774.908351 32
bismark_align_00000891 600174061.883351 606361774.908351 31
bismark_align_00000207 600174061.883351 606361774.908351 30
bismark_align_00000555 608968580.921168 615156293.946168 34
bismark_align_00000195 613863171.637786 620050884.662786 33
bismark_align_00000579 618757762.354405 624945475.379405 35
bismark_align_00000243 622657690.675603 628845403.700603 32
bismark_align_00000735 622657690.675603 628845403.700603 31
bismark_align_00000183 622657690.675603 628845403.700603 30
bismark_align_00000915 631452209.71342 637639922.73842 34
bismark_align_00000591 636346800.430039 642534513.455039 33
bismark_align_00000255 641241391.146657 647429104.171657 35
bismark_align_00000171 645141319.467855 651329032.492855 32
fastqc_00000464 0 1093624.9375 11
fastqc_00000452 0 1093624.9375 10
fastqc_00000788 0 1093624.9375 9
fastqc_00000656 0 1093624.9375 8
fastqc_00000644 0 1093624.9375 7
fastqc_00000560 0 1093624.9375 6
fastqc_00000680 1093624.9375 2187249.875 11
fastqc_00000752 1093624.9375 2187249.875 10
fastqc_00000668 1093624.9375 2187249.875 9
fastqc_00000692 1093624.9375 2187249.875 8
fastqc_00000536 1093624.9375 2187249.875 7
fastqc_00000548 1093624.9375 2187249.875 6
fastqc_00000584 0 2916333.16666667 18
fastqc_00000728 0 2916333.16666667 19
fastqc_00000596 0 2916333.16666667 20
fastqc_00000608 0 2916333.16666667 21
fastqc_00000512 0 2916333.16666667 22
fastqc_00000776 0 2916333.16666667 23
fastqc_00000488 2187249.875 3280874.8125 11
fastqc_00000620 2187249.875 3280874.8125 10
fastqc_00000716 2187249.875 3280874.8125 9
fastqc_00000704 2187249.875 3280874.8125 8
fastqc_00000632 2187249.875 3280874.8125 7
fastqc_00000572 2187249.875 3280874.8125 6
fastqc_00000764 3280874.8125 4374499.75 11
fastqc_00000476 3280874.8125 4374499.75 10
fastqc_00000500 3280874.8125 4374499.75 9
fastqc_00000740 3280874.8125 4374499.75 8
fastqc_00000524 3280874.8125 4374499.75 7
fastqc_00000344 3280874.8125 4374499.75 6
fastqc_00000440 0 4374499.75 29
fastqc_00000152 0 4374499.75 24
fastqc_00000164 0 4374499.75 25
fastqc_00000920 0 4374499.75 26
fastqc_00000176 0 4374499.75 27
fastqc_00000188 0 4374499.75 28
fastqc_00000908 4374499.75 5468124.6875 11
fastqc_00000200 4374499.75 5468124.6875 10
fastqc_00000212 4374499.75 5468124.6875 9
fastqc_00000140 4374499.75 5468124.6875 8
fastqc_00000224 4374499.75 5468124.6875 7
fastqc_00000236 4374499.75 5468124.6875 6
fastqc_00000884 0 5832666.33333333 12
fastqc_00000248 0 5832666.33333333 13
fastqc_00000260 0 5832666.33333333 14
fastqc_00000272 0 5832666.33333333 15
fastqc_00000872 0 5832666.33333333 16
fastqc_00000284 0 5832666.33333333 17
fastqc_00000068 2916333.16666667 5832666.33333333 18
fastqc_00000001 2916333.16666667 5832666.33333333 19
fastqc_00000992 2916333.16666667 5832666.33333333 20
fastqc_00000020 2916333.16666667 5832666.33333333 21
fastqc_00000980 2916333.16666667 5832666.33333333 22
fastqc_00000032 2916333.16666667 5832666.33333333 23
fastqc_00000044 5468124.6875 6561749.625 11
fastqc_00000056 5468124.6875 6561749.625 10
fastqc_00000968 5468124.6875 6561749.625 9
fastqc_00000896 5468124.6875 6561749.625 8
fastqc_00000080 5468124.6875 6561749.625 7
fastqc_00000956 5468124.6875 6561749.625 6
fastqc_00000092 6561749.625 7655374.5625 11
fastqc_00000104 6561749.625 7655374.5625 10
fastqc_00000944 6561749.625 7655374.5625 9
fastqc_00000116 6561749.625 7655374.5625 8
fastqc_00000128 6561749.625 7655374.5625 7
fastqc_00000932 6561749.625 7655374.5625 6
fastqc_00000380 7655374.5625 8748999.5 11
fastqc_00000404 7655374.5625 8748999.5 10
fastqc_00000836 7655374.5625 8748999.5 9
fastqc_00000812 7655374.5625 8748999.5 8
fastqc_00000332 7655374.5625 8748999.5 7
fastqc_00000392 7655374.5625 8748999.5 6
fastqc_00000356 0 8748999.5 5
fastqc_00000848 0 8748999.5 4
fastqc_00000416 0 8748999.5 3
fastqc_00000320 0 8748999.5 2
fastqc_00000428 0 8748999.5 1
fastqc_00000308 0 8748999.5 0
fastqc_00000368 5832666.33333333 8748999.5 18
fastqc_00000824 5832666.33333333 8748999.5 19
fastqc_00000860 5832666.33333333 8748999.5 20
fastqc_00000800 5832666.33333333 8748999.5 21
fastqc_00000296 5832666.33333333 8748999.5 22
bismark_deduplicate_00000477 438303289.316191 438303472.116192 11
bismark_deduplicate_00000393 444491002.341191 444491185.141191 11
bismark_deduplicate_00000633 512527331.818521 512527514.618521 11
bismark_deduplicate_00000117 507632741.101902 507632923.901902 10
bismark_deduplicate_00000105 516427260.139719 516427442.939719 11
bismark_deduplicate_00000129 502738150.385284 502738333.185284 9
bismark_deduplicate_00000093 525221779.177536 525221961.977536 11
bismark_deduplicate_00000405 448976373.762962 448976556.562962 8
bismark_deduplicate_00000645 516427260.139719 516427442.939719 10
bismark_deduplicate_00000657 538910888.931971 538911071.731971 11
bismark_deduplicate_00000081 535010960.610773 535011143.410773 10
bismark_deduplicate_00000465 471460002.555215 471460185.355215 8
bismark_deduplicate_00000069 538910888.931971 538911071.731971 10
bismark_deduplicate_00000609 507632741.257182 507632924.057182 9
bismark_deduplicate_00000417 535010960.766053 535011143.566053 9
bismark_deduplicate_00000057 547705407.969788 547705590.769788 11
bismark_deduplicate_00000669 557494589.403026 557494772.203026 11
bismark_deduplicate_00000045 561394517.724224 561394700.524224 11
bismark_deduplicate_00000429 538910889.087251 538911071.887251 9
bismark_deduplicate_00000033 570189036.76204 570189219.56204 11
bismark_deduplicate_00000453 507632741.412461 507632924.212461 8
bismark_deduplicate_00000681 561394517.724224 561394700.524224 10
bismark_deduplicate_00000021 579978218.195278 579978400.995278 11
bismark_deduplicate_00000006 583878146.516476 583878329.316476 11
bismark_deduplicate_00000441 583878146.671755 583878329.471755 10
bismark_deduplicate_00000213 606361775.308728 606361958.108728 11
bismark_deduplicate_00000297 606361775.464008 606361958.264008 10
bismark_deduplicate_00000285 606361775.619287 606361958.419287 9
bismark_deduplicate_00000537 606361775.774567 606361958.574567 8
bismark_deduplicate_00000309 579978218.350557 579978401.150557 7
bismark_deduplicate_00000273 583878146.827035 583878329.627035 7
bismark_deduplicate_00000261 647429104.171657 647429286.971657 35
bismark_deduplicate_00000321 579978218.505837 579978401.305837 6
bismark_deduplicate_00000549 606361775.929846 606361958.729846 7
bismark_deduplicate_00000513 507632741.478568 507633228.945235 18
bismark_deduplicate_00000249 628845404.011808 628845586.811808 31
bismark_deduplicate_00000561 615156294.346545 615156477.146545 11
bismark_deduplicate_00000237 597567256.270911 597567439.070911 6
bismark_deduplicate_00000225 615156294.501825 615156477.301825 10
bismark_deduplicate_00000333 597567439.070911 597567621.870911 6
bismark_deduplicate_00000573 606361776.085126 606361958.885126 6
bismark_deduplicate_00000621 597567256.492298 597567743.958964 18
bismark_deduplicate_00000345 561394517.79033 561395005.256997 19
bismark_deduplicate_00000201 620050885.063164 620051067.863164 11
bismark_deduplicate_00000501 615156294.657104 615156477.457104 9
bismark_deduplicate_00000585 624945475.779783 624945658.579782 11
bismark_deduplicate_00000357 561394517.94561 561395005.412277 20
bismark_deduplicate_00000189 628845403.700603 628845586.500603 30
bismark_deduplicate_00000177 651329032.492855 651329215.292855 32
bismark_deduplicate_00000597 642534513.455039 642534696.255038 33
bismark_deduplicate_00000369 620050885.218443 620051068.018443 10
bismark_deduplicate_00000165 615156294.812384 615156477.612384 8
bismark_deduplicate_00000489 615156294.967663 615156477.767663 7
bismark_deduplicate_00000153 624945475.935062 624945658.735062 10
bismark_deduplicate_00000525 620050885.373723 620051068.173723 9
bismark_deduplicate_00000381 615156295.122943 615156477.922943 6
bismark_deduplicate_00000141 561394518.100889 561395005.567556 21
bismark_deduplicate_00000717 624945476.090342 624945658.890342 9
bismark_deduplicate_00000837 624945476.245621 624945659.045621 8
bismark_deduplicate_00000705 628845404.25626 628845587.05626 11
bismark_deduplicate_00000825 628845404.41154 628845587.21154 10
bismark_deduplicate_00000897 606361775.219555 606362262.686222 18
bismark_deduplicate_00000813 620050885.529002 620051068.329002 7
bismark_deduplicate_00000909 624945476.400901 624945659.200901 7
bismark_deduplicate_00000921 637639922.73842 637640105.53842 34
bismark_deduplicate_00000789 620050885.684282 620051068.484282 6
bismark_deduplicate_00000981 620051068.484282 620051251.284282 6
bismark_deduplicate_00000801 606361775.374835 606362262.841502 19
bismark_deduplicate_00000933 624945476.55618 624945659.35618 6
bismark_deduplicate_00000777 628845404.566819 628845587.366819 9
bismark_deduplicate_00000765 606361775.530114 606362262.996781 20
bismark_deduplicate_00000945 624945659.045621 624945841.845621 8
bismark_deduplicate_00000753 628845404.722099 628845587.522099 8
bismark_deduplicate_00000957 628845404.877378 628845587.677378 7
bismark_deduplicate_00000729 628845405.032658 628845587.832658 6
bismark_deduplicate_00000741 628845586.500603 628845769.300603 30
bismark_deduplicate_00000969 628845586.811808 628845769.611808 31
bismark_deduplicate_00000993 620050885.905668 620051373.372335 18
bismark_deduplicate_00000873 624945476.777566 624945964.244233 18
bismark_deduplicate_00000693 628845587.05626 628845769.85626 11
bismark_deduplicate_00000885 606361776.151232 606362263.617899 21
bismark_deduplicate_00000849 624945476.932846 624945964.399513 19
bismark_deduplicate_00000861 624945477.088125 624945964.554792 20
bismark_methXtract_00000928 624945661.996424 624966035.129757 21
bismark_methXtract_00000532 606361961.214811 606382334.348144 22
bismark_methXtract_00000316 624945663.62041 624966036.753744 22
bismark_methXtract_00000124 502738335.825528 502758708.958861 23
bismark_methXtract_00000520 620051070.813967 620071443.9473 23
bismark_methXtract_00000760 606362265.025088 606392824.725088 29
bismark_methXtract_00000136 561395007.595863 561425567.295863 24
bismark_methXtract_00000508 507633230.973542 507663790.673542 25
bismark_methXtract_00000112 507632926.542146 507663486.242146 26
bismark_methXtract_00000280 620051072.437953 620081632.137953 29
bismark_methXtract_00000328 624945665.244397 624966038.37773 23
bismark_methXtract_00000496 620051074.061939 620081633.761939 24
bismark_methXtract_00000772 628845587.366819 628853227.291819 9
bismark_methXtract_00000484 615156480.407907 615187040.107907 25
bismark_methXtract_00000940 624945964.244233 624966337.377566 18
bismark_methXtract_00000844 624945964.399513 624966337.532846 19
bismark_methXtract_00000544 615156482.031893 615187041.731893 26
bismark_methXtract_00000748 628845587.522099 628853227.447098 8
bismark_methXtract_00000292 606361960.904252 606392520.604252 27
bismark_methXtract_00000100 516427445.579963 516458005.279963 28
bismark_methXtract_00000556 615156479.786789 615187039.486789 27
bismark_methXtract_00000568 624945964.554792 624966337.688125 20
bismark_methXtract_00000304 615156483.65588 615187043.35588 28
bismark_methXtract_00000088 615156481.828007 615197228.094674 12
bismark_methXtract_00000736 628845769.300603 628853409.225603 30
bismark_methXtract_00000952 628845587.677378 628853227.602378 7
bismark_methXtract_00000580 624945661.220026 624976220.920026 29
bismark_methXtract_00000076 606361962.94547 606402709.212137 13
bismark_methXtract_00000592 642534696.255038 642542336.180038 33
bismark_methXtract_00000856 624945966.583099 624976526.283099 24
bismark_methXtract_00000256 647429286.971657 647436926.896657 35
bismark_methXtract_00000208 624945662.844013 624976222.544013 25
bismark_methXtract_00000352 624945967.595148 624976527.295148 26
bismark_methXtract_00000412 620051075.685926 620081635.385926 27
bismark_methXtract_00000808 620051070.969246 620081630.669246 28
bismark_methXtract_00000220 615156480.3593 615197226.625967 13
bismark_methXtract_00000892 606362265.131761 606403011.398428 14
bismark_methXtract_00000400 624945846.109851 624976405.809851 27
bismark_methXtract_00000832 624945847.733838 624976407.433838 28
bismark_methXtract_00000424 620051077.727144 620091823.993811 12
bismark_methXtract_00000388 624966035.129757 624986408.263091 21
bismark_methXtract_00000232 624966036.753744 624986409.887077 22
bismark_methXtract_00000820 628845587.21154 628853227.136539 10
bismark_methXtract_00000376 624966038.37773 624986411.511063 23
bismark_methXtract_00000244 628845589.421308 628853229.346308 6
bismark_methXtract_00000880 606362266.063438 606403012.330105 15
bismark_methXtract_00000364 620051071.075919 620091817.342586 13
bismark_methXtract_00000160 624945849.775056 624986596.041723 12
bismark_methXtract_00000268 620051073.010464 620091819.277131 14
bismark_methXtract_00000196 624945666.509217 624986412.775884 13
bismark_methXtract_00000436 620051072.699905 620091818.966572 15
bismark_methXtract_00000904 624945662.258376 624986408.525043 14
bismark_methXtract_00000796 606362265.28704 606403011.553707 16
bismark_methXtract_00000148 624945661.792538 624986408.059204 15
bismark_methXtract_00000448 624945851.399042 624986597.665709 16
bismark_methXtract_00000184 628845769.611808 628853409.536808 31
bismark_methXtract_00000460 624945853.023029 624986599.289695 17
bismark_methXtract_00000340 606362266.046325 606423385.446325 5
bismark_methXtract_00000172 651329215.292855 651336855.217855 32
bismark_methXtract_00000784 624966337.377566 624986710.5109 18
bismark_methXtract_00000868 624966337.532846 624986710.666179 19
bismark_methXtract_00000916 637640105.53842 637647745.46342 34
bismark_methXtract_00000472 624966337.688125 624986710.821459 20
bismark_methXtract_00000616 624976220.920026 625006780.620026 29
bismark_methXtract_00000712 624945661.695052 625006781.095052 5
bismark_methXtract_00000700 628845769.85626 628853409.78126 11
bismark_methXtract_00000652 624986408.263091 625006781.396424 21
bismark_methXtract_00000628 624976222.544013 625006782.244013 25
bismark_methXtract_00000010 624986409.887077 625006783.02041 22
bismark_methXtract_00000964 628853227.136539 628860867.061539 10
bismark_methXtract_00000676 624945663.163759 625006782.563759 4
bismark_methXtract_00000604 624945663.319039 625006782.719039 3
bismark_methXtract_00000040 624986411.511063 625006784.644397 23
bismark_methXtract_00000016 624945676.000371 625006795.40037 2
bismark_methXtract_00000028 624945677.624357 625006797.024357 1
bismark_methXtract_00000688 628853227.291819 628860867.216819 9
bismark_methXtract_00000640 624945664.787745 625006784.187745 0
bismark_methXtract_00000724 628853227.447098 628860867.372098 8
bismark_methXtract_00000988 624976405.809851 625006965.509851 27
bismark_methXtract_00000976 628853227.602378 628860867.527378 7
bismark_methXtract_00000064 624976407.433838 625006967.133838 28
bismark_methXtract_00000052 628853229.346308 628860869.271308 6
bismark_methXtract_00000664 628853409.225603 628861049.150603 30
qualimap_00000829 624976526.283099 624986481.583099 24
qualimap_00000901 624976527.295148 624986482.595148 26
qualimap_00000373 628845591.510688 628852228.377355 18
qualimap_00000817 628845587.641598 628852224.508264 19
qualimap_00000025 628845775.158277 628852412.024944 20
qualimap_00000505 624986481.583099 624996436.883099 24
qualimap_00000229 628845591.775213 628852228.641879 21
qualimap_00000145 628845587.906122 628852224.772789 22
qualimap_00000397 624986482.595148 624996437.895148 26
qualimap_00000049 628845775.422801 628852412.289468 23
qualimap_00000769 628845587.796877 628855543.096877 29
qualimap_00000721 628845592.039737 628855547.339737 24
qualimap_00000661 628845775.687326 628855730.987326 25
qualimap_00000973 628845592.304261 628855547.604261 26
qualimap_00000517 628845588.061401 628855543.361401 27
qualimap_00000937 624986408.059204 624999681.792538 15
qualimap_00000241 628845770.954239 628855726.254239 28
qualimap_00000625 628853409.536808 628855898.361808 31
qualimap_00000889 624986408.525043 624999682.258376 14
qualimap_00000133 624986412.775884 624999686.509217 13
qualimap_00000385 628853409.78126 628855898.60626 11
qualimap_00000805 624986596.041723 624999869.775056 12
qualimap_00000457 624986597.665709 624999871.399042 16
qualimap_00000793 624986599.289695 624999873.023029 17
qualimap_00000913 637640105.868802 637642594.693802 31
qualimap_00000181 628855898.60626 628858387.43126 11
qualimap_00000037 628852224.508264 628858861.374931 19
qualimap_00000193 628852224.772789 628858861.639455 22
qualimap_00000445 624999681.792538 625012955.525871 15
qualimap_00000469 628852228.377355 628858865.244022 18
qualimap_00000709 628845588.393887 628858862.12722 12
qualimap_00000649 628852228.641879 628858865.508546 21
qualimap_00000637 628845588.238607 628858861.971941 13
qualimap_00000433 628845588.503131 628858862.236465 14
qualimap_00000409 628845588.658411 628858862.391744 15
qualimap_00000205 628852412.024944 628859048.891611 20
qualimap_00000169 651329215.623238 651331704.448238 35
qualimap_00000481 624999871.399042 625013145.132376 16
qualimap_00000781 628845592.636746 628858866.37008 16
qualimap_00000925 628845592.901271 628858866.634604 17
qualimap_00000421 628852412.289468 628859049.156135 23
qualimap_00000157 625006781.095052 625026691.695052 5
qualimap_00000529 625006782.563759 625026693.163759 4
qualimap_00000493 628858387.43126 628860876.25626 11
qualimap_00000217 628860867.061539 628863355.886539 10
qualimap_00000985 625006782.719039 625026693.319039 3
qualimap_00000289 628860867.216819 628863356.041819 9
qualimap_00000061 628860867.372098 628863356.197098 8
qualimap_00000841 625006784.187745 625026694.787745 0
qualimap_00000877 625006795.40037 625026706.000371 2
qualimap_00000613 625006797.024357 625026707.624357 1
qualimap_00000349 625026691.695052 625046602.295052 5
qualimap_00000697 628860867.527378 628863356.352378 7
qualimap_00000253 647429287.30204 647431776.12704 34
qualimap_00000565 628860869.271308 628863358.096308 6
qualimap_00000097 628860876.25626 628863365.08126 11
qualimap_00000745 628861049.150603 628863537.975603 30
qualimap_00000337 625026693.163759 625046603.763759 4
qualimap_00000577 628858861.374931 628865498.241598 19
qualimap_00000277 628855543.096877 628865498.396877 29
qualimap_00000325 628858861.639455 628865498.506122 22
qualimap_00000853 625026693.319039 625046603.919039 3
qualimap_00000085 628855543.361401 628865498.661401 27
qualimap_00000685 628858865.244022 628865502.110688 18
qualimap_00000961 628858865.508546 628865502.375213 21
qualimap_00000589 642534696.585421 642537185.410421 31
qualimap_00000865 625026694.787745 625046605.387745 0
qualimap_00000313 628855547.339737 628865502.639737 24
qualimap_00000733 628855547.604261 628865502.904261 26
qualimap_00000301 625026706.000371 625046616.600371 2
qualimap_00000073 628845589.255532 628865499.855532 5
qualimap_00000601 628845589.675336 628865500.275336 4
qualimap_00000673 628845589.520056 628865500.120057 3
qualimap_00000541 625026707.624357 625046618.224357 1
qualimap_00000757 625046605.387745 625066515.987746 0
qualimap_00000013 628855726.254239 628865681.554239 28
qualimap_00000011 628859048.891611 628865685.758277 20
qualimap_00000265 625046616.600371 625066527.200371 2
qualimap_00000109 628845589.784581 628865500.384581 2
qualimap_00000361 628845590.049105 628865500.649105 1
qualimap_00000553 628859049.156135 628865686.022801 23
qualimap_00000121 628845589.93986 628865500.53986 0
qualimap_00000949 628855730.987326 628865686.287326 25
bismark_report_00000258 647436926.896658 647437804.621658 34
bismark_report_00000438 651329220.233243 651330097.958243 34
bismark_report_00000294 628858861.971941 628863543.171941 13
bismark_report_00000018 647436931.672196 647437809.397196 33
bismark_report_00000246 651329222.616058 651330100.341058 33
bismark_report_00000318 647436934.055012 647437811.780012 31
bismark_report_00000198 642534701.195426 642535578.920426 30
bismark_report_00000366 642534704.946629 642535582.671629 10
bismark_report_00000690 628863356.041819 628864233.766819 9
bismark_report_00000858 647436936.437827 647437814.162827 30
bismark_report_00000834 647436940.18903 647437817.91403 8
bismark_report_00000450 642534707.329445 642535585.054445 11
bismark_report_00000798 628858862.12722 628863543.32722 12
bismark_report_00000702 651329224.998874 651330102.723874 31
bismark_report_00000990 642534709.71226 642535587.43726 9
bismark_report_00000378 637640111.847195 637640989.572195 6
bismark_report_00000306 647436942.571846 647437820.296846 7
bismark_report_00000186 628858862.236465 628863543.436465 14
bismark_report_00000234 642534712.095075 642535589.820075 6
bismark_report_00000342 628858862.391744 628863543.591744 15
bismark_report_00000354 628858866.37008 628863547.57008 16
bismark_report_00000402 628858866.634604 628863547.834604 17
bismark_report_00000822 651329227.381689 651330105.106689 30
bismark_report_00000270 651329231.132892 651330108.857892 7
bismark_report_00000894 628865498.241598 628867838.841598 19
bismark_report_00000222 637640112.861623 637642453.461623 18
bismark_report_00000414 647436944.954661 647437822.679661 9
bismark_report_00000678 628865498.506122 628867839.106122 22
bismark_report_00000882 628865502.375213 628867842.975213 21
bismark_report_00000846 647436947.337477 647437825.062477 11
