algo_nr wf_name inp_size dur_alg1 ms_1 ms_perc dur_alg2 ms_2
0 atacseq_30000.dot 14091675276 28.640294463 2208627964.92116 757461342.761644 741.971540798001 4914243276.90945
0 chipseq_15000.dot 41366257414 10.213277005 3608377536.27017 1280104647.47908 80.7156886400003 6244074075.29853
0 methylseq_15000.dot 6761426956 139.456782119 570148884.296911 223072987.210304 274.937843701001 794888564.635219
0 atacseq_15000.dot 3908761308 13.438645697 332304390.255515 103011809.465495 61.0230434220005 862836691.393554
0 eager 19075314980 0.034516071 7610497.28520574 5660097.175 0.008613615 7309765.55648612
0 eager_1000.dot 25705994498 0.944430512 51088155.0542528 18231135.9709328 0.456011659 89840478.3013566
0 eager_20000.dot 8330435694 114.709832939 491397135.271869 89332584.6342657 903.086313775014 899865622.302476
0 eager_25000.dot 14754556884 103.522573685001 681454096.70758 269037441.963197 2179.93221410905 1717847929.0829
0 methylseq_1000.dot 110641579976 0.526316749 454341868.54166 211064079.3 0.298776347 502051012.105964
0 chipseq_200.dot 5058052541 0.054199338 4967494.16117859 3739327.1625 0.011481547 9430034.25912076
0 atacseq_30000.dot 11809629756 46.7649927729998 1161537959.84381 339667107.877686 688.507832481996 2788161056.42838
0 methylseq_1000.dot 6273818718 0.488634889 23240524.5542931 11793463.3 0.235094277 44234765.2732428
0 chipseq_4000.dot 41366257414 1.634283474 949728960.739172 339327410.479165 3.25443417600001 1685062899.13895
0 atacseq_2000.dot 14091675276 0.734378848999999 143024637.050041 45991137.9318276 0.614641644 271264507.422484
0 atacseq_1000.dot 11809629756 0.442176004 32346382.5267262 11370107.6838157 0.167854357 76780366.805479
0 methylseq_200.dot 17027257018 0.071920204 21809234.9186196 6491298.19791667 0.014397041 26567935.607799
0 methylseq_30000.dot 110641579976 1286.880919345 13249633647.8181 6280476490.58072 2245.12171364503 14832152300.447
0 methylseq_8000.dot 110641579976 55.3574848850001 3539469086.23454 1673433368.875 67.6069853509999 3949239398.82189
0 methylseq_20000.dot 6761426956 381.123613053 760926769.810577 297359803.9582 568.751913357008 1059887038.47257
0 atacseq_8000.dot 3908761308 5.85197611399999 173786769.740544 61432903.412849 13.9292320750001 451159854.300578
0 methylseq_8000.dot 17027257018 18.685239229 911763193.815773 239674544.989583 21.8077514370001 1362086540.60679
0 atacseq_10000.dot 14091675276 5.78394259199998 730794846.679174 246265088.886097 23.70403675 1597840793.78047
0 atacseq_20000.dot 11809629756 27.2160381279999 768998460.359678 221369212.187414 142.106366776002 1639377429.48223
0 atacseq_30000.dot 3908761308 40.5093161380001 646131881.536818 240246613.7323 687.845571270998 2126329355.10411
0 eager_2000.dot 25705994498 2.147695901 97899218.1781054 34248635.1366462 1.911352149 163975528.865627
0 eager_1000.dot 14754556884 1.189746417 37456753.6507635 12687356.0384678 0.405198812 60332620.2187494
0 atacseq_30000.dot 11187378708 47.8096465539996 1145869132.41636 373962931.000161 711.835651544006 2604334183.51669
0 methylseq_10000.dot 8885797810 40.3629405849999 499996295.09856 193656676.139618 38.1512147310001 700155054.019802
0 atacseq_4000.dot 11809629756 2.826201808 148992320.905869 40282413.4048647 2.575551249 312880592.834944
0 atacseq_1000.dot 14091675276 0.34283227 70457091.6927914 26018737.845321 0.172904331 152876490.790277
0 methylseq_4000.dot 6273818718 4.938814486 99641259.2530479 46466800.3689659 3.703097409 164668244.234648
0 chipseq_1000.dot 4605965334 0.463565713 33459971.2687317 11145381.1278633 0.207470892 78070714.5243285
0 atacseq_200.dot 11809629756 0.063199068 3315585.61344062 2684422.27083333 0.012710044 3291679.79617185
0 eager_8000.dot 19075314980 16.667513875 271915304.609197 92910678.6681178 41.584183405 632849607.295974
0 methylseq_10000.dot 110641579976 45.268115178 4425861537.25995 2095552728.73392 51.29698735 4950999790.51296
0 methylseq_2000.dot 22500260922 1.432449427 95557948.2158839 67668190.7796182 1.081803196 167261712.622264
0 chipseq_200.dot 32978181418 0.047310744 41561976.4600602 19750499.8740079 0.010498594 82129939.5269335
0 chipseq_2000.dot 4605965334 0.901731245 73014172.1787956 22615177.2814529 0.907865513000002 191021568.924067
0 methylseq_30000.dot 8885797810 1039.757433067 1503134635.00882 580371844.61677 2070.570367616 2082109158.54788
0 eager_20000.dot 19075314980 83.3868001850005 712467784.596832 228374764.656635 1022.940103061 1677779450.09327
0 atacseq_8000.dot 11809629756 7.25105821399999 304679914.506548 88609130.3637628 13.021653566 660810131.453434
0 eager_30000.dot 19100037384 250.444562830999 1063218793.95421 343040382.605137 3063.12466392402 2504335559.80116
0 chipseq_200.dot 4807293396 0.053420033 4470557.98906028 3098571.96875 0.011722139 8772879.42160521
0 chipseq_200.dot 3793245764 0.057978087 4238116.21252864 3800677.2875 0.011584245 6517316.28630991
0 eager_8000.dot 19132169434 16.115452604 282905987.795253 92937223.6483061 42.1161128250002 608080305.57056
0 atacseq_10000.dot 11187378708 9.95199143400002 378128961.992705 124516377.285653 22.405197528 792187856.460931
0 chipseq_20000.dot 4807293396 24.796277478 794786079.786555 206516994.887787 193.184211081002 2129452275.07721
0 chipseq_10000.dot 5058052541 7.44896670000001 440917658.453552 121678125.704551 29.324643903 1155400841.43014
0 atacseq 3908761308 0.010051663 2195290.74690812 2078089.0812999 0.002262318 2440365.33408993
0 atacseq_4000.dot 11187378708 2.805979978 147460613.787499 44796598.6183354 2.652114234 306947682.538187
0 chipseq_4000.dot 32978181418 1.642930354 1014678882.21256 279595541.762134 3.199471667 1607570272.01761
