algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 
4 atacseq_30000.dot 14091675276 25.089240304 1628187562.62707 46.364525313 863184725.408769 
4 chipseq_15000.dot 41366257414 12.8906378889999 2518551074.18084 13.352649856 1638922978.94034 
4 methylseq_15000.dot 6761426956 36.5660021010001 576862169.960563 71.474634628 606315318.511744 
4 atacseq_15000.dot 3908761308 13.303992669 273542179.922887 18.24190248 234575103.034792 
4 eager 19075314980 0.023985962 939663.078842231 0.018777158 1935510.87595342 
4 eager_1000.dot 25705994498 0.800036691000001 32713188.896974 0.421308989 8194636.45570573 

4 eager_25000.dot 14754556884 83.6312740540007 438013280.155379 100.976138687 232372313.353839 
4 methylseq_1000.dot 110641579976 0.28520158 293616046.654655 0.277291247 314765885.485963 
4 chipseq_200.dot 5058052541 0.038153357 3150545.64364121 0.029672785 2200520.70443701 
4 atacseq_30000.dot 11809629756 56.4932635549999 978210313.878143 134.709170729 377434103.794551 
4 methylseq_1000.dot 6273818718 0.31635736 19113320.3167584 0.305885298 21239110.173326 
4 chipseq_4000.dot 41366257414 1.140180899 663564981.845335 0.99911749 534286730.571932 
4 atacseq_2000.dot 14091675276 0.544267141 109333438.25549 0.55452401 52009195.7264197 
4 atacseq_1000.dot 11809629756 0.267839672 24415519.8327125 0.286492641 9340768.75828787 
4 methylseq_200.dot 17027257018 0.048039503 19709623.5094443 0.047304374 19408745.8717888 
4 methylseq_30000.dot 110641579976 165.209094322 7709292833.84714 195.379836381 8557973821.84129 
4 methylseq_8000.dot 110641579976 8.60896221000004 2053414854.4201 9.474696141 2303596912.22002 
4 methylseq_20000.dot 6761426956 70.1151560020003 781221787.270451 143.702780219 809015268.842779 
4 atacseq_8000.dot 3908761308 5.98026435799998 151703489.514952 5.60232375 116297511.313339 
4 methylseq_8000.dot 17027257018 8.95183873899999 788807008.928392 13.343753621 869500954.429387 
4 atacseq_10000.dot 14091675276 3.97847929700001 543959023.584826 5.943874604 281685815.969267 
4 atacseq_20000.dot 11809629756 25.727649116 629250327.950577 47.521059955 249649160.95709 
4 atacseq_30000.dot 3908761308 49.3820486970003 551265519.679572 61.150683993 500796111.001453 
4 eager_2000.dot 25705994498 1.909015592 67920155.7792553 1.092708782 19606646.8251709 
4 eager_1000.dot 14754556884 0.753089322 16464838.6671879 0.453630176 5523096.89515692 
4 atacseq_30000.dot 11187378708 65.52619994 979177947.171425 117.252506416 351954760.576613 
4 methylseq_10000.dot 8885797810 14.774045981 498019524.912149 23.666021277 534442053.139821 
4 atacseq_4000.dot 11809629756 2.367507782 139650750.858615 2.34143097 47292383.2284757 
4 atacseq_1000.dot 14091675276 0.24803826 57669960.6087067 0.24986944 22387047.388002 
4 methylseq_4000.dot 6273818718 2.21828014500001 90114056.5834758 3.107109624 92690010.009977 
4 chipseq_1000.dot 4605965334 0.31219244 26443395.1400688 0.262551191 26110884.5178834 
4 atacseq_200.dot 11809629756 0.042967882 408623.329215425 0.034458237 267980.145581794 
4 eager_8000.dot 19075314980 13.079826006 184324971.754824 8.327690631 96373017.2930887 
4 methylseq_10000.dot 110641579976 14.963220843 2642433282.32332 13.572730708 2913093871.78511 
4 methylseq_2000.dot 22500260922 0.824941424 45862656.1732704 0.960997933 48051986.1738179 
4 chipseq_200.dot 32978181418 0.031371789 30091057.3224542 0.02877304 34393439.6146114 
4 chipseq_2000.dot 4605965334 0.702954261 59050101.8470359 0.752197947 56087937.8505897 
4 methylseq_30000.dot 8885797810 177.18734758 1499516115.86839 401.862669748 1600044685.0528 
4 eager_20000.dot 19075314980 49.98442547 454803946.369507 47.937589965 243062002.874686 
4 atacseq_8000.dot 11809629756 6.81174259999997 279113959.394153 7.747516547 98799819.5733766 
4 eager_30000.dot 19100037384 101.962135989 685393359.143339 116.109041261 367722742.176419 
4 chipseq_200.dot 4807293396 0.038866899 3521943.11890362 0.030805211 3269604.94538003 
4 chipseq_200.dot 3793245764 0.046224007 61672.3426283185 0.031542837 65934.9401360223 
4 eager_8000.dot 19132169434 12.957329556 194625825.337765 8.328983415 99659960.4457043 
4 atacseq_10000.dot 11187378708 7.882729813 300326648.087867 12.166547013 116020077.033297 
4 chipseq_20000.dot 4807293396 21.047009992 669165434.209994 33.493173998 606248178.41882 
4 chipseq_10000.dot 5058052541 6.98313352199998 378425990.134542 10.933725294 344775098.93309 
4 atacseq 3908761308 0.007583139 79942.46243661 0.006175088 37792.1524131222 
4 atacseq_4000.dot 11187378708 2.216679082 122285857.139554 2.540204569 41284802.7273052 
4 chipseq_4000.dot 32978181418 1.154428753 829186707.263255 1.03388653 935409706.242486 
4 eager_4000.dot 19075314980 5.33655292199999 91266917.1410263 2.669698827 50658630.4634042 
4 methylseq_4000.dot 17027257018 2.349256475 391744072.096181 3.855245858 436486925.676354 
4 chipseq_1000.dot 41366257414 0.208033288 161840267.234767 0.184146735 122805862.856789 
4 atacseq_10000.dot 3908761308 7.44461652899996 187804088.472842 8.300739522 146709840.422604 
4 eager_1000.dot 19100037384 0.648892273 23578477.3039232 0.445326349 11851564.2464263 
4 eager_25000.dot 25705994498 108.958001731 876633842.956667 76.212104891 256242159.457668 
4 chipseq_25000.dot 41366257414 31.4593641389999 4259611746.09468 47.570381641 3047588150.7653 
4 atacseq 14091675276 0.006631071 2580698.46550448 0.00548252 2529056.63547425 
4 methylseq_15000.dot 11897958606 37.6735308510001 1038395999.19745 72.223705056 1147447907.27336 
4 atacseq_30000.dot 2223941232 59.982975091 343960927.492268 79.773439071 249556008.281624 
