algo_nr wf_name inp_size dur_alg1 ms_1 ms_perc dur_alg2 ms_2
3 atacseq_30000.dot 14091675276 2541.783362303 1584781753.9154 2810839910.92689 3154.416700243 2810839914.25391
3 chipseq_15000.dot 41366257414 464.466238571 3647619221.75354 2841431825.99884 600.496499102 2841431825.99884
3 methylseq_15000.dot 6761426956 822.169738251 122161095.028811 175269912.820677 637.313106981 175269912.820677
3 atacseq_15000.dot 3908761308 614.23756885 265070416.064082 387693315.118321 570.274720063 387693315.118321
3 eager 19075314980 0.051081408 6028003.66744243 5847654.8 0.006919959 5847654.8
3 eager_1000.dot 25705994498 1.925372521 45740244.8071564 48358217.3958433 0.239017788 48358217.3958433
3 eager_20000.dot 8330435694 2221.684831122 332037572.595551 235813258.564681 1314.111015 235813258.564681
3 eager_25000.dot 14754556884 2666.069317427 662758817.633211 723323837.154547 2455.479642564 723323837.154547
3 methylseq_1000.dot 110641579976 1.00932165 525624564.55119 618186049.991962 0.171389069 618186050.931295
3 chipseq_200.dot 5058052541 0.07297743 9014148.72528429 8280503.44368375 0.01104948 8280503.44368375
3 atacseq_30000.dot 11809629756 3291.237059241 952180447.675413 883871194.308331 3115.135306834 883871194.308331
3 methylseq_1000.dot 6273818718 0.696294704 6871619.06026723 12604474.9116821 0.168186628 12604474.9116821
3 chipseq_4000.dot 41366257414 10.217691858 969534165.203903 758490206.46138 5.95238728 758490206.46138
3 atacseq_18000.dot 11809629756 929.54022934 563558371.464189 503645841.590186 883.348127236 503645841.590186
3 atacseq_2000.dot 14091675276 2.813176663 115199874.119408 192870296.326373 0.943282537 192870300.322101
3 atacseq_1000.dot 11809629756 0.737073192 27342545.3688896 43210348.7126291 0.181634412 43210348.7126291
3 methylseq_200.dot 17027257018 0.080625218 4481862.77113311 6529913.34688832 0.010783912 6529913.34688832
3 methylseq_30000.dot 110641579976 3847.321483458 16144838264.7353 15452530259.663 2109.608557331 15452530260.6024
3 methylseq_8000.dot 110641579976 84.69690137 4159813250.2929 5020229640.52898 76.897619621 5020229641.46831
3 atacseq_18000.dot 2223941232 971.990932073 194005394.114196 270363192.531378 864.285398763 270363192.531378
3 methylseq_20000.dot 6761426956 1482.037245541 168216216.408888 229204898.887344 1195.834186171 229204898.887344
3 atacseq_8000.dot 3908761308 83.866544974 139473551.170255 207159879.271781 48.221113138 207159879.271781
3 methylseq_8000.dot 17027257018 84.755619825 246375489.919233 173465891.12736 89.931046848 173465893.107309
3 atacseq_10000.dot 14091675276 121.174646502 556698163.785768 919017708.76721 142.711087503 919017710.276606
3 atacseq_20000.dot 11809629756 1237.069757692 621166404.078201 574706920.720261 1127.217671831 574706920.720261
3 atacseq_30000.dot 3908761308 2855.22030496 517978630.916546 784764593.36045 3118.839566524 784764593.36045
3 eager_2000.dot 25705994498 7.615262837 84454660.5779251 101616203.564658 1.142343144 101616203.564658
3 eager_1000.dot 14754556884 1.610244267 29009802.232001 31389280.025 0.239038428 31389280.025
3 atacseq_30000.dot 11187378708 3188.321020915 925405638.571265 922855888.754525 3112.28442697 922855888.754525
3 methylseq_10000.dot 8885797810 160.370679055 120665834.71419 190652287.994697 194.171464984 190652287.994697
3 chipseq_18000.dot 5058052541 908.147492455 398253477.387373 572957596.392427 938.468710756 572957596.392427
3 atacseq_4000.dot 11809629756 13.414893389 115745923.657896 129105991.454376 7.369085434 129105991.454376
3 atacseq_1000.dot 14091675276 0.723639286 44483686.3419123 92045885.4797906 0.179817937 92045887.5739058
3 methylseq_4000.dot 6273818718 13.618944071 27646023.5774497 44934448.6113137 6.037508506 44934448.6113137
3 methylseq_18000.dot 17027257018 1120.509894718 594468024.975872 369176135.571805 946.027405386 369176137.273744
3 chipseq_1000.dot 4605965334 0.797947098 17146646.5890195 36593400.8362925 0.170801028 36593400.8362925
3 methylseq_18000.dot 11897958606 1247.099618372 308893162.400641 405666813.231693 1031.384127518 405666813.231693
3 atacseq_200.dot 11809629756 0.078054312 15995595.8977956 17581672.119959 0.013747456 17581672.119959
3 eager_8000.dot 19075314980 100.996900068 255956421.396269 233585559.732131 87.149188435 233585559.732131
3 methylseq_10000.dot 110641579976 129.132612227 5208857171.43477 6271504091.25047 146.355334207 6271504092.1898
3 methylseq_2000.dot 22500260922 2.874064994 71930835.2741071 62494969.3724142 0.937007176 62494971.3585245
3 chipseq_200.dot 32978181418 0.070593795 25513265.0630716 26030361.0625 0.010889547 26030361.0625
3 chipseq_2000.dot 4605965334 3.150580112 30974676.101597 67750321.511327 0.880179507 67750321.511327
3 methylseq_30000.dot 8885797810 3776.866326526 387973581.122441 537606079.905694 2382.517035162 537606079.905694
3 eager_20000.dot 19075314980 1925.937676945 749931823.474378 577813629.732131 1502.534906776 577813629.732131
3 atacseq_8000.dot 11809629756 74.193346622 249803542.85336 263614154.359676 58.284559463 263614154.359676
3 eager_30000.dot 19100037384 4370.837781028 1105866043.26505 1122229194.62197 3835.372148448 1122229194.62197
3 chipseq_200.dot 4807293396 0.075974123 7646209.67386512 6851145.35818805 0.010739222 6851145.35818805
3 chipseq_200.dot 3793245764 0.075510742 6948549.52736522 7082915.56177286 0.010631866 7082915.56177286
3 eager_8000.dot 19132169434 120.196123286 280797301.04768 300637771.493871 107.454864828 300637771.493871
3 atacseq_10000.dot 11187378708 110.876937931 291159434.702898 318449108.518065 128.830837488 318449108.518065
3 chipseq_20000.dot 4807293396 1199.271548183 397567495.962827 489515850.959905 1205.618172291 489515850.959905
3 chipseq_10000.dot 5058052541 133.689401197 234276719.144646 336357158.301009 158.648808747 336357158.301009
