algo_nr wf_name inp_size avg_spread_dyn cv_proc_load_dyn num_used_procs_dyn idle_to_work_dyn idle_to_work_30s_dyn dur_alg1 ms_1 avg_spread_stat cv_proc_load_stat num_used_procs_stat idle_to_work_stat idle_to_work_30s_stat ms_perc dur_alg2 ms_2
2 atacseq_30000.dot 14091675276 1.06987921325821 0.756776365329672 36 2.72226188772813 0.00976590290467444 25.7639464 723952803.63656 1.05996484213564 0.749714386725869 36 3.54649347029629 0.0374142243045321 820767556.152853 54.1100074780003 821016827.036145
2 chipseq_15000.dot 41366257414 1.09997877227112 0.88269889773312 36 3.77321792792389 0.00139165391390993 11.456749129 1456605228.27862 1.0897133612075 0.784648097846696 36 3.18746574227213 0.014638011438263 1535948337.09692 3.04244815599999 1542068988.78022
2 methylseq_15000.dot 6761426956 1.11073726706235 1.79208243643423 36 20.1915289842921 4.38509918655014e-06 145.547894667 223386357.513409 1.09517455234032 1.76739386657471 36 21.8276350924873 0.0231881440453265 254960548.43478 55.5124787070011 254962776.929831
2 atacseq_15000.dot 3908761308 1.07500792744071 0.207437982850389 36 0.383944020726591 0.0251240335375555 17.001855749 100058908.045474 1.07920972403919 0.264935841326837 36 0.73610475107948 0.0459156063750709 117115231.81789 20.1273550989999 117193827.478771
2 eager 19075314980 1.88513513513514 1.70734185513231 8 32.8192144878054 25.1856550110047 0.04095085 6203646.00046652 2.62162162162162 2.73765529186251 10 116.422892572522 101.395627564978 5448397.84423695 0.006217834 5381199.68613685
2 eager_1000.dot 25705994498 1.4145376020376 1.64121284978633 36 31.1825855983827 0.0856782497628482 1.176436694 27600200.1462617 1.38062437607716 1.20514312660618 36 23.543384323281 0.0491433944344708 22347224.7523497 0.221570478999999 23543226.7999117
2 eager_20000.dot 8330435694 1.25585418760948 0.793453584463716 36 6.80038937964839 0.0411645553884472 191.612723057 116093945.815958 1.14597034548852 0.253009248039982 36 1.29167103792242 0.093686945313668 124916947.338704 84.9213602040003 124917326.992188
2 eager_25000.dot 14754556884 1.18665167795658 0.937696785157705 36 11.6835419130209 0.0135798956019234 290.530545289999 312253968.874158 1.12456955830021 0.667323229968806 36 6.35239452482707 0.0401250504167758 321156423.546664 134.375238784001 321531626.950052
2 methylseq_1000.dot 110641579976 1.18894626123542 1.92439117025748 36 203.310133312216 0.00208346290977858 0.521678122 235197295.174086 1.1131032064767 1.87001372094836 36 72.1009500722708 0.0116602302911104 241762304.117403 0.121844923 241762635.785418
2 chipseq_200.dot 5058052541 1.28784013605442 0.751349320196039 14 2.13579198742211 0.0966327987675202 0.056834086 3021839.79748767 1.1954816017316 0.996743316663668 36 3.68903988096157 0.0701123122035236 3004723.46485376 0.00670001300000001 3016237.90762887
2 atacseq_30000.dot 11809629756 1.08588493965535 0.633966538531474 36 2.10140265963685 0.016186640965187 56.729105212 336981839.494811 1.08221392302945 0.702782356941635 36 3.19019499059747 0.0392765214207899 379608551.914833 123.137539412001 379736352.278076
2 methylseq_1000.dot 6273818718 1.29852744310576 1.20856082874042 36 15.0729835382903 0.0015247241529033 0.518661691 11874220.0261928 1.09173200739466 1.2006256575938 36 13.9226418931555 0.0204598074175375 12611624.6426935 0.136489051 12611932.8424647
2 chipseq_4000.dot 41366257414 1.09796689159896 0.827672457068885 36 3.31446136672041 0.00129261902303791 1.591552639 380873201.324836 1.08866035693865 0.820325373507129 36 3.80226795210477 0.0164958208101752 414044432.130681 0.311146227 415512609.933841
2 atacseq_2000.dot 14091675276 1.07715068689694 0.814688245475027 36 3.88791588987596 0.0107629867793107 0.750945538 48709175.5035476 1.06411976863966 0.718517900696001 36 3.31643319098178 0.0362721535413744 52201885.3817408 0.233036492999999 52265562.0566764
2 atacseq_1000.dot 11809629756 1.1237016039516 0.852472222250532 36 2.10483891489825 0.018108633897377 0.434129631 11068383.4802441 1.10079538326597 0.746232007001193 36 3.46054933750097 0.0382856494322582 12022368.9919785 0.0922398769999999 12032077.9266371
2 methylseq_200.dot 17027257018 1.79017857142857 1.76118363077042 28 3.06101287667795 0.00566247959230401 0.073911469 7123288.52482578 1.3254794973545 2.00969606670222 36 265.234402146808 0.060077977208929 8354662.77749463 0.00906081300000001 8354768.17705849
2 methylseq_30000.dot 110641579976 1.12703123577476 1.84840875464131 36 23.8359880404208 1.97573331594512e-05 596.129810987003 6977625518.57376 1.08743338605287 1.84121971678769 36 23.7113948918922 0.00245885781168347 6971375973.10961 241.615046901996 6971379076.78212
2 methylseq_8000.dot 110641579976 1.09987964154631 1.85046073447704 36 23.9453156600049 2.26480775161402e-05 26.427094472 1861546178.53946 1.09908519630742 1.84103379288587 36 23.8359334318124 0.00250870451907876 1897695859.75495 8.84250861299983 1897696700.59143
2 methylseq_20000.dot 6761426956 1.26197621905907 1.74527129681428 36 19.4267241013481 2.75240056710491e-06 228.292097478 297554886.681186 1.09437505160798 1.76159728568185 36 21.4383735762197 0.0230466277665289 338514863.361508 111.558302608002 338517229.812521
