algo_nr wf_name inp_size avg_spread_dyn cv_proc_load_dyn num_used_procs_dyn idle_to_work_dyn idle_to_work_30s_dyn dur_alg1 ms_1 avg_spread_stat cv_proc_load_stat num_used_procs_stat idle_to_work_stat idle_to_work_30s_stat ms_perc dur_alg2 ms_2
0 atacseq_30000.dot 14091675276 1.18186209613628 1.13563488236113 36 80.2678086590737 0.711202719199502 55.3174983039999 14311980453.425 1.71808609832829 2.10407219292964 36 646.834247196816 0.572868820901953 1115893423.05358 436.522667154003 50269666296.435
0 chipseq_15000.dot 41366257414 1.10683807879653 1.4101947649605 36 41.9704439518296 0.0610913417812509 15.585539369 24076130677.662 1.53151864308477 1.88391834304833 36 240.400846692408 0.166180281470133 2139415153.88143 78.8507466680002 59808648511.0966
0 methylseq_15000.dot 6761426956 1.22669352413148 1.805337882252 36 168.041534723389 2.0313128432026 120.816743415 2943479613.20809 1.1187616760075 1.82064021914368 36 546.917216904498 3.85259853947555 240634230.97596 119.301781232001 5964653361.98354
0 atacseq_15000.dot 3908761308 1.15011024636914 0.544715968694294 36 5.39632813339196 1.12407003456633 12.360903226 2245540315.63919 1.42464227034541 1.96687759472899 36 138.322217248654 0.322764929663373 194185974.404653 77.5573191539997 12293202020.7984
0 eager 19075314980 2.94594594594595 2.59700284820084 8 18.1466870567626 18.1466870567626 0.040513089 27218317.5268219 2.63063063063063 2.63934904649468 8 440.397859339044 440.397859339044 6180168.3584802 0.008860859 31708623.58057
0 eager_1000.dot 25705994498 1.9035111003861 1.93989101241664 36 644.375338803044 0.79043097936943 1.039050706 331404909.834358 2.37797363109863 2.30363543177561 36 2348.13415625982 1.07691232123202 23858063.4942464 0.450028673 708525588.103751
0 eager_20000.dot 8330435694 1.31006569588699 0.880010894922479 36 50.933169688832 2.09618757233546 97.1452931370003 3484928048.94824 2.59576975745613 1.80748464446413 36 2806.13807513042 0.586212574845082 172021962.903523 568.880852463002 10553722282.7957
0 eager_25000.dot 14754556884 1.22946285823894 1.34803117130077 36 62.6445918965933 0.508150915777157 92.2867551980002 4122171111.88502 2.54118788906023 1.60944225241969 36 2019.61528943836 0.399297414198374 434175491.82708 1040.47041940202 18194255228.8379
0 methylseq_1000.dot 110641579976 1.4175909989163 2.20550970785715 36 7015.07059739215 0.00392035840869078 0.496373022 2691853813.04462 1.18567922483585 2.20319657992729 36 1142.77933884479 0.0356851691476745 223531369.090594 0.244260381 3197123661.09914
0 chipseq_200.dot 5058052541 2.21130952380952 1.39252545944953 18 7.93086793380063 0.664134685440034 0.05915953 25849979.7846133 1.78422619047619 1.20977907085241 18 59.5389866191265 6.72270627770307 4502214.4625 0.011563203 61271561.5593217
