algo_nr wf_name inp_size avg_spread_dyn cv_proc_load_dyn num_used_procs_dyn idle_to_work_dyn idle_to_work_30s_dyn dur_alg1 ms_1 avg_spread_stat cv_proc_load_stat num_used_procs_stat idle_to_work_stat idle_to_work_30s_stat ms_perc dur_alg2 ms_2
3 atacseq_30000.dot 14091675276 1.12641033732573 0.98582086546474 36 11.1191749406144 0.145781817763595 1882.87278774699 1960689253.06684 1.55318053749459 2.0073692427409 36 12.0247580721995 0.307120846289518 2372926020.77589 2506.48956001905 2372926020.77589
3 chipseq_15000.dot 41366257414 1.11338710850917 1.08191379882924 36 7.9261441904375 0.0234595738197204 348.916435410999 3447214535.9876 1.41902178233563 1.29508643992462 36 5.61617717895778 0.296653966484891 4893512049.39453 423.676073179997 4893512049.39453
3 methylseq_15000.dot 6761426956 1.31997979335851 1.78242307143492 36 35.4263393808108 0.117532111699115 471.361817493 380659182.336889 2.83333333333333 1.84123434464012 36 0.165563582299708 0.165563582299708 450395600.159533 484.475381649003 450395600.159533
3 atacseq_15000.dot 3908761308 1.11597872765822 0.281759635752649 36 1.30582924219393 0.346825633478718 335.714605191999 283176180.563654 1.62454065393519 1.59811932298529 36 3.47850966264562 0.251606607210878 376012908.639524 438.792660302003 376012908.639524
3 eager 19075314980 2.84684684684685 2.52746827053337 8 97.2799376685914 97.2799376685914 0.037209686 6570066.40122412 2.83140283140283 2.45705132216216 8 58.7808578674343 58.7808578674343 6628000.57758513 0.005753315 6628000.57758513
3 eager_1000.dot 25705994498 1.64063805001305 1.76870247411273 36 137.585393338413 0.175418089154394 1.187597512 51501121.4182408 2.52633526383527 1.88991399189088 36 42.3111923231632 3.07022818095452 60765324.8166252 0.232083615000001 60765324.8166252
3 eager_20000.dot 8330435694 1.23306984543638 0.829394875933456 36 29.6281363274028 0.417940896840165 851.887740280001 421267500.554845 2.64280954665566 2.88916102201909 36 400.758813615446 1.16854855343608 482985191.43404 1103.69746868201 482985191.43404
3 eager_25000.dot 14754556884 1.2114521198211 1.0545516129533 36 22.0924104213294 0.128764372431044 1411.363259608 678321380.062837 2.5472686004601 1.88227626513583 36 30.2857199994011 4.87898233625706 1198197569.97878 1840.05370694699 1198197569.97878
3 methylseq_1000.dot 110641579976 1.26770574360936 2.06330657433108 36 695.252972869935 0.00237743155742484 0.665949322 452936642.104741 1.62784471218206 2.78335568777097 36 221.15181651248 217.014633095514 1124031701.43701 0.172664030999999 1124031701.43701
3 chipseq_200.dot 5058052541 1.91071428571429 1.00984426362639 14 4.47249328480473 0.476529097919349 0.059557907 6444766.7897791 1.83333333333333 1.82952592380805 18 3.17576210857604 1.15529263560535 8406517.0818942 0.009263171 8406517.0818942
3 atacseq_30000.dot 11809629756 1.13532255679095 0.710350793518365 36 5.95974872408032 0.156412035640664 1889.42637973699 912445724.609579 1.54739947777984 1.44232918473938 36 62.014409589414 0.658295505499675 1041814406.26843 2511.10611735111 1041814406.26843
3 methylseq_1000.dot 6273818718 1.36375661375661 1.28560084123328 36 13.8710998955332 0.0999070021426818 0.65987375 18359420.2842954 2.41164658634538 1.4703373856032 36 29.0054169734508 0.412702842561752 29171229.2799691 0.171956971999998 29171229.2799691
