algo_nr wf_name inp_size chainProb hubScore bypBra maxIndSetR cpRat wSkew memToComp memToIo auto-num auto-name 
1 atacseq_200.dot 11809629756 0.558376 1.47275 1 0.568528 404501 2.13599 375.729 0.782704 6 Online_MeDiH-BL
1 dag_200_long_1.dot 1 0.975124 0.0239331 0 0.995025 1.49146e+08 1.48107 28.313 0.0797386 6 Online_MeDiH-BL
1 dag_50_wide_0.dot 1 0.882353 2.2041 1 0.980392 1.67876e+07 1.48115 36.1302 0.0954094 6 Online_MeDiH-BL
1 dag_30000_wide_0.dot 1 0.900003 2.49467 1 0.999967 88169.2 1.81622 31.4606 0.0771812 6 Online_MeDiH-BL
1 eager_8000.dot 19075314980 0.576127 11.1067 1 0.424376 22725.7 2.2614 106.641 0.347095 6 Online_MeDiH-BL
1 dag_200_wide_0.dot 1 0.895522 2.53799 1 0.995025 5.59428e+06 1.88594 35.1627 0.0823143 6 Online_MeDiH-BL
1 dag_30000_general_0.dot 1 0.449985 0.599777 0 0.999967 157524 1.15374 31.5158 0.0365451 3 Online_MeDiH-MM
1 dag_4000_general_1.dot 1 0.444639 0.599995 0 0.99975 971883 1.08797 31.3423 0.0358568 3 Online_MeDiH-MM
1 methylseq_10000.dot 110641579976 0.666533 219.604 1 0.583517 48279.1 3.00001 2.09208 0.0100162 6 Online_MeDiH-BL
1 methylseq_2000.dot 22500260922 0.665998 43.934 1 0.584253 46463 2.99775 12.5248 0.0560719 6 Online_MeDiH-BL
1 chipseq_200.dot 32978181418 0.553672 1.40345 1 0.610169 1.59378e+06 1.49209 106.415 0.249574 6 Online_MeDiH-BL
1 chipseq_2000.dot 4605965334 0.559433 11.6418 1 0.60091 28085.6 1.3434 382.886 1.22929 6 Online_MeDiH-BL
1 methylseq_30000.dot 8885797810 0.666622 658.386 1 0.583394 1497.02 2.99867 24.6884 0.136033 6 Online_MeDiH-BL
1 eager_20000.dot 19075314980 0.576213 25.982 1 0.423987 9078.22 2.26162 106.649 0.347079 6 Online_MeDiH-BL
1 atacseq_8000.dot 11809629756 0.563961 43.2196 1 0.539202 9964.57 2.13596 375.7 0.782667 6 Online_MeDiH-BL
1 dag_8000_long_4.dot 1 0.99925 0.000748907 0 0.999875 1.43329e+08 0.774745 30.984 0.0830221 6 Online_MeDiH-BL
1 eager_30000.dot 19100037384 0.576233 38.4394 1 0.423901 6047.17 2.26219 103.235 0.336632 6 Online_MeDiH-BL
1 chipseq_200.dot 4807293396 0.553672 1.40345 1 0.610169 259481 1.32264 546.102 1.26074 6 Online_MeDiH-BL
1 chipseq_200.dot 3793245764 0.553672 1.40345 1 0.610169 315437 1.27762 342.422 1.3555 6 Online_MeDiH-BL
1 eager_8000.dot 19132169434 0.576127 11.1067 1 0.424376 22667.4 2.26216 103.917 0.337221 6 Online_MeDiH-BL
1 atacseq_10000.dot 11187378708 0.56399 53.8685 1 0.539055 8827.49 2.11148 335.62 0.813836 6 Online_MeDiH-BL
1 chipseq_20000.dot 4807293396 0.559944 114.168 1 0.60009 2299.05 1.32263 546.149 1.26076 6 Online_MeDiH-BL
1 chipseq_10000.dot 5058052541 0.559888 57.2085 1 0.60018 5508.37 1.33271 452.015 1.22703 6 Online_MeDiH-BL
1 atacseq 3908761308 0.536585 0.695122 1 0.731707 1.36816e+06 1.38053 445.581 1.59194 6 Online_MeDiH-BL
1 dag_50_wide_3.dot 1 0.882353 2.303 1 0.980392 2.03296e+07 1.26139 31.241 0.079848 6 Online_MeDiH-BL
1 dag_20000_long_0.dot 1 0.9997 0.000299825 0 0.99995 1.42682e+08 0.39217 31.408 0.0828182 6 Online_MeDiH-BL
1 dag_25000_wide_1.dot 1 0.900004 2.46158 1 0.99996 122052 1.75465 31.4232 0.0770775 6 Online_MeDiH-BL
1 atacseq_4000.dot 11187378708 0.563819 21.7131 1 0.53995 22148.6 2.11155 335.669 0.813937 6 Online_MeDiH-BL
1 chipseq_4000.dot 32978181418 0.559718 23.0331 1 0.600453 70932.7 1.4921 106.412 0.249573 6 Online_MeDiH-BL
1 dag_2000_wide_0.dot 1 0.89955 2.45533 1 0.9995 978406 1.53169 31.7693 0.0773413 6 Online_MeDiH-BL
1 eager_4000.dot 19075314980 0.57598 6.12427 1 0.425032 45779 2.26137 106.653 0.347114 6 Online_MeDiH-BL
1 methylseq_4000.dot 17027257018 0.666333 87.9169 1 0.583792 17411.6 2.99635 17.3895 0.0774345 6 Online_MeDiH-BL
1 chipseq_1000.dot 41366257414 0.558854 5.94729 1 0.601842 402424 1.61951 65.0461 0.190625 6 Online_MeDiH-BL
1 atacseq_10000.dot 3908761308 0.56399 53.8685 1 0.539055 5617.34 1.38048 445.573 1.59197 6 Online_MeDiH-BL
1 eager_1000.dot 19100037384 0.575053 2.3906 1 0.429175 191605 2.26187 103.202 0.336516 6 Online_MeDiH-BL
1 dag_2000_general_2.dot 1 0.448276 0.61421 1 0.9995 1.9948e+06 0.79761 31.2259 0.0369413 3 Online_MeDiH-MM
1 eager_25000.dot 25705994498 0.576225 32.2107 1 0.423935 9478.98 2.19473 83.8534 0.254606 6 Online_MeDiH-BL
1 dag_10000_general_2.dot 1 0.447655 0.598335 0 0.9999 405001 1.09835 31.6478 0.0370946 3 Online_MeDiH-MM
1 chipseq_25000.dot 41366257414 0.559955 142.648 1 0.600072 15741.2 1.61968 65.0295 0.190635 6 Online_MeDiH-BL
1 dag_4000_long_1.dot 1 0.998 0.00199127 0 0.99975 1.44389e+08 0.439459 30.4138 0.0813714 6 Online_MeDiH-BL
1 atacseq 14091675276 0.536585 0.695122 1 0.731707 3.79645e+06 1.60053 215.421 0.579959 6 Online_MeDiH-BL
1 methylseq_15000.dot 11897958606 0.666578 329.168 1 0.583456 3929.1 2.99845 19.0472 0.10274 6 Online_MeDiH-BL
1 dag_10000_long_3.dot 1 0.9998 0.00019998 0 0.9999 1.41968e+08 1.36307 31.3931 0.0825959 6 Online_MeDiH-BL
1 atacseq_30000.dot 2223941232 0.564065 160.985 1 0.538659 1251.56 1.15366 576.991 1.97716 6 Online_MeDiH-BL
1 dag_50_general_4.dot 1 0.411765 0.55716 0 0.980392 2.60554e+07 1.01434 30.4471 0.0331664 3 Online_MeDiH-MM
1 dag_10000_wide_1.dot 1 0.89991 2.47957 1 0.9999 306216 1.77879 31.3936 0.0774139 6 Online_MeDiH-BL
1 dag_15000_general_2.dot 1 0.458503 0.615592 0 0.999933 289667 0.941569 31.3352 0.0365316 6 Online_MeDiH-BL
1 dag_20000_general_1.dot 1 0.448778 0.595281 0 0.99995 222924 1.06747 31.472 0.0367103 3 Online_MeDiH-MM
1 dag_50_general_2.dot 1 0.352941 0.590555 0 0.980392 3.45647e+07 1.04359 31.6446 0.039679 3 Online_MeDiH-MM
