algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2
1 eager 19075314980 0.000198426 916494.006464991 0.017714013 2231878.4786751
1 eager_1000.dot 25705994498 0.013709083 28751530.9693512 0.527145824 53854916.200874
1 methylseq_1000.dot 110641579976 0.013824345 268906180.707566 0.327572726 283572666.824037
1 chipseq_200.dot 5058052541 0.000750344 2124606.12376779 0.049199476 2606537.53365298
1 methylseq_1000.dot 6273818718 0.015777089 16577334.1895572 0.308325897 24818504.6436076
1 chipseq_4000.dot 41366257414 0.059913655 633190153.630021 0.908989203 805337638.753432
1 atacseq_2000.dot 14091675276 0.018115037 105579282.927982 0.578904679 189539061.675142
1 atacseq_1000.dot 11809629756 0.006558037 22870051.1707839 0.287353184 38986843.0401028
1 methylseq_200.dot 17027257018 0.001784107 17369715.3060792 0.037885917 21273628.7306792
1 methylseq_8000.dot 110641579976 0.350400854 2046292400.64874 13.707754313 2212559319.23719
1 atacseq_8000.dot 3908761308 0.205578758 141774114.611875 5.982270348 266878986.168026
1 methylseq_8000.dot 17027257018 0.493626433 766472748.53253 13.016882747 1157819817.82315
1 atacseq_10000.dot 14091675276 0.353133431 534483337.153743 8.20801296 991971905.331789
1 eager_2000.dot 25705994498 0.062533607 65891864.4973513 1.516107551 111980554.47016
1 eager_1000.dot 14754556884 0.011858867 16541413.7971217 0.57990347 22557998.4911948
1 methylseq_10000.dot 8885797810 0.795616177 496539706.764543 24.141742165 744325427.836971
1 atacseq_4000.dot 11809629756 0.060985741 118008963.727862 1.886800085 203433889.14338
1 atacseq_1000.dot 14091675276 0.006280149 51089904.0805516 0.243521141 92252927.6460127
1 methylseq_4000.dot 6273818718 0.141667152 78950405.8766876 3.232812053 119650524.114275
1 chipseq_1000.dot 4605965334 0.008301252 26621993.5847499 0.288842222 43326388.8462294
1 atacseq_200.dot 11809629756 0.000804576 228252.187239988 0.032128465 220615.979013251
1 eager_8000.dot 19075314980 0.640880989 174969501.197454 14.094058485 386990487.974025
1 methylseq_10000.dot 110641579976 0.569710478 2544562020.98321 27.955627408 2740818091.6876
1 methylseq_2000.dot 22500260922 0.043294912 42834858.2857413 0.874152276 71330509.3020938
1 chipseq_200.dot 32978181418 0.000916554 23154831.5802787 0.026867933 39614253.4975785
1 chipseq_2000.dot 4605965334 0.021147805 57457456.9632148 0.678125965 106819370.162688
1 atacseq_8000.dot 11809629756 0.22460925 245820078.704389 6.391864038 420627568.001124
1 chipseq_200.dot 4807293396 0.000746285 3011220.77212767 0.028594915 2325752.30062449
1 chipseq_200.dot 3793245764 0.000719307 57252.0031294938 0.029200303 624698.399261546
1 eager_8000.dot 19132169434 0.63131109 175082210.083877 13.399520853 368668564.549652
1 atacseq_10000.dot 11187378708 0.353780111 289386828.021201 9.688508784 514294542.590747
1 chipseq_10000.dot 5058052541 0.229294723 347759082.508841 11.485371257 679975550.152878
1 atacseq 3908761308 0.000136262 51240.2196519581 0.005604853 30255.3662860682
1 atacseq_4000.dot 11187378708 0.060888329 116800977.299471 1.920254745 196940053.760577
1 chipseq_4000.dot 32978181418 0.049164249 774994780.712292 0.919964562 1001381703.86836
1 eager_4000.dot 19075314980 0.251886799 87442784.6245777 3.839400855 180345855.677742
1 methylseq_4000.dot 17027257018 0.130195782 381508400.830388 3.745112263 576324728.553859
1 chipseq_1000.dot 41366257414 0.009094694 153543928.896661 0.176870439 193944736.765975
1 atacseq_10000.dot 3908761308 0.321752225 177234024.141451 9.403260628 336818026.748723
1 eager_1000.dot 19100037384 0.013095984 23716332.1353078 0.62073048 32747255.4556722
1 atacseq 14091675276 0.000138462 748634.07572619 0.005170174 3396520.13582189
1 methylseq_1000.dot 11897958606 0.014485482 65486462.5141367 0.349300268 98349602.0963192
1 atacseq_2000.dot 3908761308 0.018134076 29007455.9818824 0.77326461 53035347.8018663
1 methylseq 11897958606 9.9681e-05 16511.2115194486 0.001644101 16494.1350007669
1 eager 14754556884 0.000199527 251996.262674935 0.017947676 506315.153710939
1 chipseq_2000.dot 32978181418 0.018076469 382192462.15121 0.432772615 498322427.860908
1 eager_2000.dot 19100037384 0.054999109 43213909.6812458 1.610282954 80739433.2718282
1 chipseq_2000.dot 5058052541 0.01801981 65616780.7151854 0.734974357 121063669.499297
1 atacseq_4000.dot 14091675276 0.061190772 215861617.480775 1.377477032 410942769.447474
1 eager_200.dot 25705994498 0.000781895 2249756.11479701 0.06087865 2512597.64663998
1 methylseq_200.dot 110641579976 0.001874624 58058753.0621714 0.040325732 53988814.4109089
1 methylseq 6273818718 9.641e-05 10209.3324205797 0.001643108 10191.6953178747
1 eager 25705994498 0.000204472 1871512.56607012 0.017086603 2600074.65781378
1 methylseq_4000.dot 8885797810 0.13193413 195031248.752808 3.689133163 295113688.94548
1 chipseq_2000.dot 41366257414 0.022509743 314476158.048197 0.389566855 405109574.81014
1 chipseq_8000.dot 5058052541 0.157404047 287274487.714237 7.299364382 541252818.48442
1 methylseq_8000.dot 8885797810 0.498812687 395435155.624397 12.21506984 592973041.407968
1 chipseq_8000.dot 41366257414 0.180652544 1281188152.1443 2.334192142 1657863547.64822
1 methylseq_8000.dot 6273818718 0.506980917 162691887.692494 11.03722598 244232898.934844
1 chipseq_1000.dot 32978181418 0.007211487 187286946.452746 0.190263355 250758143.52014
