algo_nr wf_name inp_size dur_alg1 ms_1 ms_perc dur_alg2 ms_2
1 atacseq_30000.dot 14091675276 39.4429142140001 14311902856.9314 20686623921.7226 42.3997046289999 20686903732.9859
1 chipseq_15000.dot 41366257414 14.052480882 24210802412.04 24814157840.3939 3.03928643199998 24823367362.8717
1 methylseq_15000.dot 6761426956 95.5583046679998 2944107830.11208 5590340026.86279 59.5285776290002 5590340643.76434
1 atacseq_15000.dot 3908761308 12.099986326 2218438008.14291 3467931356.66446 12.928699745 3468030206.24806
1 eager 19075314980 0.035670604 33211907.6629335 25505645.8788397 0.004906899 25508763.4426298
1 eager_1000.dot 25705994498 0.970120503000001 331575825.549781 326563001.323259 0.286662041 326563070.66732
1 eager_20000.dot 8330435694 89.059180133 3408259875.62657 4165560415.75513 75.6574652529991 4165579145.90752
1 eager_25000.dot 14754556884 81.4056845829994 4085003139.93289 5163869611.5033 135.461968727001 5163923606.20403
1 methylseq_1000.dot 110641579976 0.492297498 2573208128.47664 2674446669.18935 0.135397823999999 2646619044.54916
1 chipseq_200.dot 5058052541 0.055942961 25691685.2249076 23524901.6592972 0.006747452 23531758.9679025
1 atacseq_30000.dot 11809629756 54.1841778719999 7629587167.8134 11121185490.0119 75.0178958510004 11121227310.9085
1 methylseq_1000.dot 6273818718 0.545006765000001 118690124.577092 162953409.991163 0.125177882000001 162953446.883297
1 chipseq_4000.dot 41366257414 1.908375525 6295749341.59635 6513160386.66858 0.254227541000008 6514586330.92641
1 atacseq_2000.dot 14091675276 0.772045550999999 994763940.335517 1218416583.65207 0.284107574000001 1218401619.17627
1 atacseq_1000.dot 11809629756 0.449254646 187427873.325994 259668450.935912 0.0915601360000002 259684453.442261
1 methylseq_200.dot 17027257018 0.077197068 117738595.645714 107977077.803233 0.008926311 107978414.507522
1 methylseq_30000.dot 110641579976 534.854645135999 76404464144.6302 78077054536.5921 267.548811874005 78077054684.5937
