algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
4 eager 19075314980 0.000225933 935985.030079251 0.018898631 1808937.33766888 0.045053238 2137662.62654807
4 eager_1000.dot 25705994498 0.015143511 29776242.7109374 0.435466108 6903500.79165504 2.2924588 337134076.704506
4 methylseq_1000.dot 110641579976 0.015598627 265442678.311565 0.289825891 265240086.880358 1.463775227 1710494187.60089
4 chipseq_200.dot 5058052541 0.000849548 2145690.05330759 0.030277998 2123689.39479583 0.073532603 37928930.0033458
4 methylseq_1000.dot 6273818718 0.018239929 16577329.6262778 0.328137936 16594161.8876619 1.180516699 341355676.352632
4 chipseq_4000.dot 41366257414 0.067602867 650935962.749958 1.054747354 467329419.984074 9.14907935 4265186083.76795
4 atacseq_2000.dot 14091675276 0.021228713 107082942.398973 0.577347483 45032207.7984135 2.395197754 892307888.271541
4 atacseq_1000.dot 11809629756 0.0074218 22451735.4149175 0.289894268 7280508.85899038 0.925903496 384351872.563506
4 methylseq_200.dot 17027257018 0.002047241 17370617.9488919 0.042487624 17379147.5051321 0.096191595 100738193.094428
4 methylseq_8000.dot 110641579976 0.39138776 2032784114.06294 9.873773496 2040174509.06857 192.036140895 13699494146.2891
4 atacseq_8000.dot 3908761308 0.227824079 137130142.805778 5.789504479 106893182.95372 41.938430093 1648548213.60258
4 methylseq_8000.dot 17027257018 0.548189621 766445342.928126 14.058381988 767375217.802213 143.047433052 5942768556.35793
4 atacseq_10000.dot 14091675276 0.388311117 575402262.863658 6.536974307 247265574.847243 95.21713948 4581467580.60794
4 eager_2000.dot 25705994498 0.069336482 69309876.6310052 1.137329391 17775920.6165144 12.325426737 538505085.716525
4 eager_1000.dot 14754556884 0.013254942 15893780.0084481 0.465813085 4708997.12650494 2.271276329 300044752.725758
4 methylseq_10000.dot 8885797810 0.879652517 496538308.086457 24.92895377 497359134.387822 373.300718029 4308257365.52071
4 atacseq_4000.dot 11809629756 0.067652355 127783150.784192 2.290762938 40228777.6428897 9.221456362 1200162468.70125
4 atacseq_1000.dot 14091675276 0.008537809 51372507.5216414 0.297773951 20643061.6085658 0.91045889 425483131.562244
4 methylseq_4000.dot 6273818718 0.154423299 78948380.4621975 3.290749194 79103031.5112703 30.160870126 1784038883.21083
4 chipseq_1000.dot 4605965334 0.009377786 25866303.0168829 0.269616518 22765019.7303988 0.788972129 252183329.989659
4 atacseq_200.dot 11809629756 0.000913858 214321.096633635 0.035376449 208147.900462843 0.081734763 30171684.5262668
4 eager_8000.dot 19075314980 0.693900192 178323041.435178 9.063580257 86015242.0238957 454.038661228 2409466810.82622
4 methylseq_10000.dot 110641579976 0.596594482 2539308717.78543 14.447367146 2546840841.17944 365.930659077 17139100919.1512
4 methylseq_2000.dot 22500260922 0.048754181 42071429.1187588 1.011029978 42356005.3528541 6.52289762 1363840309.15784
4 chipseq_200.dot 32978181418 0.001038651 28774046.5320703 0.029478138 31469380.519931 0.07446953 273818544.972424
4 chipseq_2000.dot 4605965334 0.022832409 59251155.3331546 0.767408751 51634463.3418593 2.773818708 553896207.057674
4 atacseq_8000.dot 11809629756 0.245850972 270491342.909408 8.06419523 86101986.5169732 49.396750521 3156723386.65896
4 chipseq_200.dot 4807293396 0.000850075 2033370.552792 0.031614874 2719193.84494756 0.070236036 36552096.769955
4 chipseq_200.dot 3793245764 0.000817077 56167.9110000001 0.032187409 56167.9110000001 0.076128501 12708161.0749411
4 eager_8000.dot 19132169434 0.679355667 183115702.583797 8.970808363 86611477.93334 457.019682177 2381751236.50957
4 atacseq_10000.dot 11187378708 0.393771096 324052875.096145 12.650488297 100801827.639394 90.327776343 3866511338.20851
4 chipseq_10000.dot 5058052541 0.25716675 343037195.08456 11.269957919 310001395.467984 86.446497941 3248451034.22969
4 atacseq 3908761308 0.000155553 44584.0343574888 0.006277545 34940.586817165 0.014353367 30633.9243907123
4 atacseq_4000.dot 11187378708 0.068360523 123181197.020527 2.364404788 36465555.3798244 9.23495713 1140986759.32325
4 chipseq_4000.dot 32978181418 0.055291921 800466333.965611 1.078950452 816543635.913406 20.677276121 7501466205.96766
4 eager_4000.dot 19075314980 0.248158224 91549808.2385546 2.902518896 43035713.7992457 51.349100935 1137983938.8959
4 methylseq_4000.dot 17027257018 0.146469679 381505568.698377 4.119527704 381966260.175184 28.711503982 3454728511.77526
4 chipseq_1000.dot 41366257414 0.010183228 153274495.091833 0.192208854 108667107.141076 0.665755043 1132364950.30556
4 atacseq_10000.dot 3908761308 0.355857939 172487943.072459 8.64330221 135527743.878268 74.036794846 2203734591.99115
4 eager_1000.dot 19100037384 0.014586624 21754043.6108777 0.459960165 9734518.03565516 1.724733318 229821720.475017
4 atacseq 14091675276 0.000159091 2108458.07412106 0.005645125 2066360.8585961 0.012386803 3841834.02545946
4 methylseq_1000.dot 11897958606 0.016450142 65479527.2816897 0.349951094 65572146.0192105 1.464259435 403983700.40998
4 atacseq_2000.dot 3908761308 0.020743583 29016221.7957585 0.743352848 21520726.6895803 2.145680026 270028960.34945
4 methylseq 11897958606 0.000104437 18441.8166653709 0.001815617 18427.5635 0.003772399 18427.5635
4 eager 14754556884 0.000224269 243399.190982719 0.018745698 200736.126756005 0.047108409 5178880.28608649
4 chipseq_2000.dot 32978181418 0.020294169 389964837.601733 0.450772397 406245244.185224 4.014034941 3674858224.5825
4 eager_2000.dot 19100037384 0.061266824 44918052.7455997 1.095475915 21721199.5756603 6.087634883 467172903.469559
4 chipseq_2000.dot 5058052541 0.020069453 67824614.7029965 0.818026247 56141987.4069183 2.688965874 578324140.137775
4 atacseq_4000.dot 14091675276 0.067763653 226254144.855119 1.376820946 93392998.0823697 9.706392832 1793154042.1408
4 eager_200.dot 25705994498 0.00087518 2495674.18551798 0.063244383 1891344.24796992 0.163385282 32375310.3150538
4 methylseq_200.dot 110641579976 0.002184583 56849221.0264498 0.040616064 55656600.0971805 0.107605473 322884461.917145
4 methylseq 6273818718 0.00010612 9950.21661322558 0.001836739 9936.834125 0.00381365 9936.834125
4 eager 25705994498 0.000218339 2046404.13037369 0.018942281 1975632.08700291 0.045128261 6757950.37401521
4 methylseq_4000.dot 8885797810 0.146972573 195031741.397237 4.242987517 195351621.972581 33.34045376 1642860923.24967
4 chipseq_2000.dot 41366257414 0.025057537 320576355.41417 0.41974277 237630600.01022 2.152774772 2141239670.1235
4 chipseq_8000.dot 5058052541 0.174639561 278200341.669623 7.216632869 246032397.574525 44.66199614 2538070337.59592
4 methylseq_8000.dot 8885797810 0.567829618 395433676.633441 14.449085803 396089542.648099 206.683653565 3403590416.79896
4 chipseq_8000.dot 41366257414 0.200215986 1317153499.0331 2.968630685 936581336.496724 46.432927317 8687421504.02321
4 methylseq_8000.dot 6273818718 0.562529112 162662393.327791 11.910516105 163209116.182622 151.813657166 2987138990.38285
4 chipseq_1000.dot 32978181418 0.008194137 185521720.396305 0.199143284 196066982.058824 1.014087205 1791923626.14203
4 methylseq_10000.dot 6273818718 0.906571895 204722710.163309 21.220537285 205281143.665735 282.664117245 3587223612.27447
4 chipseq_10000.dot 4605965334 0.274488248 313215129.165238 9.360367683 285247919.656679 106.694492931 3059901618.40677
4 methylseq 22500260922 0.000110035 127455.682323359 0.001837632 127438.67936679 0.003770726 127438.67936679
4 methylseq 110641579976 0.000102896 19083317.1858612 0.001806592 19083288.5698596 0.003735151 19083288.645325
4 chipseq_8000.dot 32978181418 0.174578939 1622665728.92768 2.809088944 1686810131.8155 126.832131782 15196781437.041
4 chipseq_4000.dot 5058052541 0.055409354 136755815.310662 2.076924756 117274039.865778 13.376827684 1256874787.41854
4 eager 8330435694 0.000219621 84099.6815487567 0.019108689 58353.8614010292 0.04665761 83058.6312586816
4 eager_4000.dot 25705994498 0.132676324 147905838.631889 2.599280813 33668077.6270057 62.931506519 899269646.153976
4 eager_8000.dot 19100037384 0.679325919 179883304.388405 8.993906632 86234952.0891366 446.951041929 2379563431.09542
4 methylseq_4000.dot 110641579976 0.11535609 1023778846.23022 2.360286618 1025989503.54745 31.781690564 6847138768.47433
4 chipseq 3793245764 0.000114269 28482.0629183208 0.003548255 28083.9555 0.007831505 28083.9555
4 atacseq_200.dot 14091675276 0.000972132 2187037.61194424 0.035450509 3000589.48013791 0.08275846 81804069.9071075
4 eager_10000.dot 19100037384 1.018418153 226045900.878113 13.523218995 107252500.773819 787.333758021 2922274137.41223
4 atacseq_2000.dot 11187378708 0.021919495 56341662.3973072 0.794462887 16210122.5770921 3.432255648 789826451.394781
4 methylseq_10000.dot 11897958606 0.873976154 671531906.647454 25.083231834 672589342.823801 324.423802245 4454380442.60924
4 chipseq_200.dot 4605965334 0.000905796 53078.1372916666 0.031888697 53078.1372916666 0.072969937 13895912.964083
4 methylseq_2000.dot 11897958606 0.047696897 133357407.490516 1.162107294 133558027.752843 6.487293558 841879116.068767
4 atacseq_200.dot 3908761308 0.000879426 65251.2353470746 0.040595591 62986.735567165 0.087035267 6456763.70333589
4 eager_8000.dot 8330435694 1.066295292 169806034.231398 17.629179751 166193631.429454 816.312019284 1381992532.16314
4 atacseq_200.dot 2223941232 0.000858001 55569.046010735 0.043253593 59933.3066891561 0.09678986 2854203.4130216
4 chipseq_2000.dot 4807293396 0.020210302 58711217.0894622 0.776392941 45287590.0137349 2.976905444 779348412.300699
4 eager_10000.dot 19075314980 0.957091528 223475576.839319 13.693031919 106983802.761906 741.496751959 2943987715.55864
4 eager_10000.dot 8330435694 1.634950772 215154442.448398 30.174539655 214702681.283994 1500.116851799 1690298818.62939
4 methylseq_200.dot 8885797810 0.001989756 5454114.54529601 0.041799469 5454119.06346997 0.087693614 20205027.9140682
4 chipseq 32978181418 0.000111799 8637915.85314606 0.003033673 8561191.52803436 0.00665406 12906414.4182801
4 methylseq_2000.dot 6761426956 0.045358756 72743061.5424308 1.110029198 72858655.7692402 6.006443886 427758962.853762
4 atacseq_1000.dot 11187378708 0.007820115 21260738.086382 0.276271181 6624211.91794189 0.912322218 366324641.623229
