algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
1 eager 19075314980 0.000229218 933387.752933254 0.019188765 1840139.89378102 0.04538887 2477282.94144974
1 eager_1000.dot 25705994498 0.015196015 29687692.9990363 0.430509431 8618723.17488511 2.301244705 342919171.568151
1 methylseq_1000.dot 110641579976 0.016234623 271356627.655336 0.216985217 317601067.211551 1.407471042 1814776784.46031
1 chipseq_200.dot 5058052541 0.000855081 3378936.31295018 0.028274109 3036765.85984093 0.071683273 40148715.8485366
1 methylseq_1000.dot 6273818718 0.018242968 18587446.0991117 0.226472681 21191360.123637 1.065842851 382145345.128004
1 chipseq_4000.dot 41366257414 0.06726341 710516295.190567 1.054026296 377392821.425855 9.013662729 4723087564.95431
1 atacseq_2000.dot 14091675276 0.020651827 111831287.035335 0.431532533 29265194.1478356 2.271751598 895992835.362131
1 atacseq_1000.dot 11809629756 0.00822689 24410971.3426656 0.207628146 8270558.44287148 0.855763845 407226181.595978
1 methylseq_200.dot 17027257018 0.002061003 16515959.5386581 0.036754259 21629761.5600252 0.09091492 109377672.279969
1 methylseq_8000.dot 110641579976 0.390482694 2074508946.03881 2.516654191 2492326826.21189 198.007854825 14258805532.0195
1 atacseq_8000.dot 3908761308 0.228339287 147930101.715236 4.867083617 109443943.341465 40.836867999 1719230648.46086
1 atacseq_10000.dot 14091675276 0.387387166 557352698.847355 4.209020197 151932741.068563 94.198644236 4636417000.62929
1 eager_2000.dot 25705994498 0.077895542 71288277.8022772 1.117746863 22871846.1138923 11.133713733 542028618.28696
1 eager_1000.dot 14754556884 0.013299822 15368529.3988257 0.461922118 7084396.65712575 2.278202393 309514651.476406
1 atacseq_4000.dot 11809629756 0.069499941 135934200.997427 1.131283709 33778010.7199443 8.048348859 1236001151.27137
1 atacseq_1000.dot 14091675276 0.007213567 54393674.8378068 0.189041125 12601246.9707849 0.71097704 428939248.433766
1 methylseq_4000.dot 6273818718 0.153491227 86521252.0710053 1.203305006 120741485.615371 29.237269756 2010172646.55472
1 chipseq_1000.dot 4605965334 0.00943965 25107422.7735736 0.215011444 21223012.8400583 0.740456109 262408360.12073
1 atacseq_200.dot 11809629756 0.000917912 237314.44757051 0.034445015 242476.756719762 0.081435173 32916384.3539725
1 eager_8000.dot 19075314980 0.687377338 179994813.658028 8.906630203 114879277.311092 467.468119872 2411929178.02512
1 methylseq_2000.dot 22500260922 0.048845316 45547751.1938586 0.506833862 53547028.7661079 6.105864885 1516853950.06075
1 chipseq_200.dot 32978181418 0.001044662 17068622.5604425 0.026381692 21229889.8662162 0.072109065 279489854.552771
1 chipseq_2000.dot 4605965334 0.023102329 62033666.3712046 0.519737558 55201818.389461 2.567012797 570940699.093287
1 atacseq_8000.dot 11809629756 0.246278649 282825382.597596 3.061059908 74664245.8305939 43.410218348 3264970632.88384
1 chipseq_200.dot 4807293396 0.000864173 2410964.47740796 0.028579045 2398022.77276401 0.067796906 37795220.5597558
1 chipseq_200.dot 3793245764 0.000817848 58380.5025209935 0.030210463 64004.905820652 0.074627601 12791088.1116577
1 eager_8000.dot 19132169434 0.705051706 179813049.387636 8.984401989 115710558.796108 478.581372202 2382510137.47499
1 atacseq_10000.dot 11187378708 0.389891109 327583394.229595 4.422399542 81423423.544972 85.006311218 3993047331.34258
1 chipseq_10000.dot 5058052541 0.262945376 365512502.967564 6.336104673 343432023.074788 85.369431926 3308296985.49139
1 atacseq 3908761308 0.000154551 35675.4985241447 0.006247741 39505.4351416001 0.014411792 32740.0928611815
1 atacseq_4000.dot 11187378708 0.06779929 136995097.106879 1.145247027 30600981.2657031 8.051709469 1199278677.2427
1 chipseq_4000.dot 32978181418 0.055875824 812531122.794391 1.029061601 525067070.634146 20.928506262 7634599671.89505
1 eager_4000.dot 19075314980 0.245315407 92530185.5096411 3.189182669 56846553.5711112 55.574612012 1138059508.87504
1 methylseq_4000.dot 17027257018 0.149127393 386946705.882545 1.202510881 644988349.818421 25.204290669 3860199653.88563
1 chipseq_1000.dot 41366257414 0.010278367 170000484.268246 0.17069998 90394926.957983 0.647892669 1198458737.54307
1 atacseq_10000.dot 3908761308 0.357006414 184243886.244053 7.427821205 134718785.516718 76.346517426 2286906280.66681
1 eager_1000.dot 19100037384 0.014678213 24163447.9903459 0.454506679 10673308.8689391 1.736925074 229984996.221563
1 atacseq 14091675276 0.000167086 750232.112399901 0.005550973 735734.079950941 0.012262872 5425394.37075145
1 methylseq_1000.dot 11897958606 0.01655585 68031819.8897269 0.219309388 91210790.4841302 1.342584589 441178673.71354
1 atacseq_2000.dot 3908761308 0.020839201 27459104.3048401 0.602796013 21629883.3928658 2.048394245 276913995.323566
1 methylseq 11897958606 0.000105886 18388.4906123124 0.001828042 21875.2087247862 0.003777342 21859.3552397211
1 eager 14754556884 0.000231291 279344.22582057 0.018635748 239385.222520655 0.046962859 6926818.72913293
1 chipseq_2000.dot 32978181418 0.020595746 390053472.324305 0.404196444 263851903.538859 4.035647569 3727305356.08473
1 eager_2000.dot 19100037384 0.060052443 45485245.6438983 1.068429881 25258321.69245 5.979807988 467196211.381648
1 chipseq_2000.dot 5058052541 0.020325206 76771894.282441 0.510226347 49974734.9596093 2.418202409 582802806.089347
1 atacseq_4000.dot 14091675276 0.067364056 236857285.194618 1.047348632 58148824.0744112 9.420260226 1802867247.15182
1 eager_200.dot 25705994498 0.00088338 2727698.64044071 0.061313457 3251016.59629621 0.159905051 33011200.0059126
1 methylseq_200.dot 110641579976 0.002171197 66210397.9217225 0.036929812 65133104.5637949 0.104506586 337591964.816695
1 methylseq 6273818718 0.000110961 5790.33979733595 0.001851724 9952.85033895845 0.003829173 9936.834125
1 eager 25705994498 0.000226775 2198349.9180299 0.017224468 2169805.63967262 0.042951908 6795963.33656386
1 methylseq_4000.dot 8885797810 0.146422507 203260799.601572 1.193846326 264392575.688429 29.974016921 1841761741.03072
1 chipseq_2000.dot 41366257414 0.025618567 332690003.428713 0.410360106 179354240.445781 2.173519214 2299575864.15196
1 chipseq_8000.dot 5058052541 0.173011943 301605150.457532 4.215769773 224776693.302135 41.226212213 2583229262.07821
1 methylseq_8000.dot 8885797810 0.554183581 396577810.337234 3.305772909 530718910.287518 198.099583113 3797284437.04466
1 chipseq_8000.dot 41366257414 0.202540978 1380235123.62465 3.217023487 729210395.766715 47.544679981 9572808326.92304
1 chipseq_1000.dot 32978181418 0.008276782 195071341.99875 0.17234576 131272011.627847 0.993497163 1824098940.88999
1 chipseq_10000.dot 4605965334 0.275040269 311973451.738355 6.319457366 314610769.528446 104.872197095 3156618186.19324
1 methylseq 22500260922 0.000107943 160296.561916503 0.001840319 162100.630830863 0.003796256 162081.899992782
1 methylseq 110641579976 0.000105303 12859407.886916 0.001825827 19097082.0739583 0.003771789 19097076.4246093
1 chipseq_8000.dot 32978181418 0.174297586 1689283798.72266 3.105073173 1064374843.7242 138.149975018 15460240687.0694
1 chipseq_4000.dot 5058052541 0.055724334 147873889.231493 1.372051469 104485486.870208 12.836002241 1288478544.76124
1 eager 8330435694 0.000229642 50435.3167204549 0.018893347 46211.4945606557 0.046464184 83105.1850697319
1 eager_4000.dot 25705994498 0.133745316 140764273.893272 2.364858974 40348473.0372908 61.589310969 921357741.59096
1 eager_8000.dot 19100037384 0.696958168 185403877.291871 8.962319512 114646889.562859 487.140223299 2379691520.90432
1 methylseq_4000.dot 110641579976 0.117595767 1089950084.01605 1.033897951 1270677795.44115 32.301359929 7204101502.53151
